,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Interactive Project Manager,$50k-$128k (Glassdoor Est.),"This position will be located in Cupertino, CA.

Overview


Hero Digital partners with leading brands to build extraordinary customer experiences. This specific role will be working with our Cupertino-based client who is world renowned for crafting products and experiences that change the world. Embedded as an Interactive Producer, you will partner with our clients digital e-commerce team made up of highly focused individuals who express both passion and incredible attention to detail on every project. You will be supporting the rollout of updated and new shopping experiences across multiple digital touch points at a global scale. This involves overseeing projects from initial brief to production, guiding UX/design, copywriting, and development from concepting through the final launch of the project.

What You'll Do
Manage the scope and resourcing for interactive projects
Assist in making adjustments to the project timeline, scheduling, and defining priorities
Ability to articulate the big picture and overarching mission while maintaining a high attention to detail and tactical execution of complex systems
Proactively identify solutions to meet changes in project scope while maintaining the integrity of the creative vision against tight deadlines
Balance project scope, priorities and goals with various teams and keep clear and constant communication channels open with all stakeholders
Work cross-functionally to route layouts, copy, renderings, and production files for review and approval
Schedule handoffs and assure delivery of appropriate assets to teams
Provide quality assurance on projects and promote exceptional quality standards on all deliverables
Who You Are

Bachelors degree with 3+ years relevant experience; agency experience preferred
The ability to communicate high-level concepts and overall business direction to stakeholders
Experience in marketing and the development of digital communications across multiple channels and platforms
Ecommerce/transactional experience required
Ability to distill and simplify complex requests into clear and actionable project plans
Work effectively with creative, development, and cross-functional teams
Demonstrated experience managing multiple projects simultaneously
Strong organizational skills and attention to detail
Ability to work under tight deadlines and respond to shifting priorities, schedules, and deliverables across multiple work streams
Extremely strong communication skills - both written and verbal
A proven track record of delivering results against deadlines
Passion for digital products
Ability to comfortably communicate with designers and developers. A high level understanding of web development principles is a plus
Ability to work onsite in Cupertino/Sunnyvale, CA once we are able to be back in the offer. Free shuttle provided.

Who We Are

We are a leading independent customer experience agency in North America that was born in California, at the intersection of business, design, and technology. Our purpose is to bring moments of Truth & Beauty into people's lives by creating customer experiences that are good for people and good for business. We drive growth and loyalty through a relentless focus of placing our client's customers at the center of their business. Led by the experts in strategy, marketing, data, design, and technology, we work in blended teams, solving client problems and delivering results at market speed. These teams help Fortune 500 companies like Comcast, Oracle, Twitter, U.S. Bank, Salesforce, Sephora, UnitedHealthcare, and TD Ameritrade Institutional invent, transform, and perform to deliver new brand and business value.

Do you share the values that set our company apart?

We are expanding our team of humble and hardworking people who share the qualities we believe in. We seek those who are Wholehearted, Craft-driven, and Bright.

We are grounded in the values of who we are that ultimately lead to moments of Truth & Beauty. We celebrate leaders at all levels who take risks and create magic. We bring our complete, genuine, and whole-hearted selves forward each day. We are craft-driven in nature, with strong curiosities, but with a diligent and meticulous approach. And we bring an unexpected brightness through imagination, inspiration and an optimistic mindset. The commitment we make to our work is the source of our pride and the basis of our reputation.

Above all, Hero Digital is committed to creating an inclusive employee experience. One that reflects the world we live in today. We are an equal opportunity employer that welcomes people regardless of backgrounds, experiences, abilities, and perspectives.",4.1,"Hero Digital
4.1","Cupertino, CA",-1,201 to 500 Employees,2014,Company - Private,Advertising & Marketing,Business Services,$50 to $100 million (USD),-1
1,In-Store Shopper,$50k-$128k (Glassdoor Est.),"Schedule:Part -Time Regular,Reduced Time Seasonal, Part-Time Seasonal

Shifts:
Morning, Day, Evening, Weekend

Flexible Shift Requirements
All flexible shift associates will start on a standard training schedule for 1 day on a day between Monday-Saturday 10:45am-3:30pm. Once training is complete, associates will have the ability to select their shifts and schedule.

Location
We're hiring part-time Shoppers in the following Whole Food Markets locations:

1765 California St, San Francisco CA 94109
399 4th St, San Francisco 94107
450 Rhode Island St, San Francisco CA 94107
2001 Market St, San Francisco CA 94114
1150 Ocean Ave, San Francisco CA 94112

Job opportunities vary by location. We update postings daily with open positions.

Salary
Earn $17.25/hr

Amazon remains open as an essential service to serve our communities delivering critical supplies directly to the doorsteps of people who need them.

Job Description
Join Amazon and become part of a dedicated team that makes shopping a lot easier.
As a Whole Foods Shoppers, youre sure to find the part-time role and environment that will work best for you. Core duties for these teams include:
Use a smartphone, manage apps, and scan bar codes
Check for order quality
Communicate with customers about their orders either verbally or through the app
As a Whole Foods Shopper, youll be working inside a Whole Foods Market and some of your duties will include:
walking the store
picking out groceries for customer orders
getting grocery orders ready for delivery
Youll be able to choose from available shifts each week to create your own schedule.
Start as soon as 7 days. No resume or previous work experience required.
Candidates must be 18 years or older with ability to read and speak English for safety.
Reasons youll love working here:
Earn more: You can expect a competitive wage and reliable pay check when you work for Amazon.
Benefits: From a 401(k) savings plan to employee discounts, Amazon has you covered on perks.
Schedule flexibility: You can choose your shifts to create a schedule that works for you.
Basic qualifications:
High school, GED, or equivalent diploma
Apply now to view available shifts.

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",3.9,"Amazon
3.9","Brisbane, CA",-1,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),-1
2,Asset Protection & Service Ambassador Virtual Hiring Event,$50k-$128k (Glassdoor Est.),"Hiring Immediately! Bloomingdale's Asset Protection Hiring Event!

Event Details
Date: Thursday, September 17, 2020

What We're Hiring For

Asset Protection & Service Ambassador

Asset Protection Supervisor

Intake Details:

Requirements

High School degree or equivalent and/or related Criminal Justice/Administration of Justice preferred

Prior retail security experience preferred but not required

Complete all Security training requirements, maintain personal certifications as required by law

Completing our online application prior to the event is strongly encouraged and will speed up the process.

What to wear

Dress code is Business casual (dress pants/skirt, button down/blouse, optional tie).

About Bloomingdale's

We seek talented creative people with a passion and entrepreneurial spirit who enjoy the fast paced exciting world of retail. We want people with a desire to grow professionally as well as personally because, at Bloomingdale’s, we provide the tools for both.

Your fashion voice and authority is what makes you credible as you engage with an upscale client base. What makes you successful is your ease of conversation, building relationships and connecting with others. Our top performers are goal oriented and can balance multiple priorities in a fast paced environment and most importantly truly have fun at work.

All hourly associates are eligible to receive a quarterly bonus incentive, colleague discounts and the opportunity to be a part of an iconic brand. Certain criteria must be met to receive the quarterly bonus incentive.

What is a Virtual Hiring Event?
Virtual hiring events are a great way for employers and jobseekers to connect, even if they aren't in the same physical location. Hiring is a human process, and they would like to talk with you online (either through chat, on the phone, or video) to see if you’re a fit!

As a Visual Security Officer, you will be an integral part of Bloomingdale's ability to maintain our high level of service and safety. You will have the opportunity to work a flexible schedule including weekends. Your individual responsibilities will include deterring theft via visual observation as well as maintaining a safe business environment.

Visually monitor customer traffic entering and exiting the store
Communicate suspicious activity to Asset Protection/Security",3.1,"Bloomingdale's
3.1","Palo Alto, CA",-1,10000+ Employees,1861,Subsidiary or Business Segment,"Department, Clothing, & Shoe Stores",Retail,$1 to $2 billion (USD),-1
3,Veterinary Receptionist for Emergency Clinic,$50k-$128k (Glassdoor Est.),"AAHA accredited veterinary emergency hospital with a 40+ year history of helping animals and their owners in the Inland Empire is seeking an experienced veterinary receptionist for full time hours.

If you are a
caring,
compassionate,
animal loving

individual, with strong customer service skills, and appreciate a quick-paced environment, we want to meet you.

We are open 365 days a year so weekends and holidays are a requirement.

Previous experience in a veterinary hospital is a necessity.",4.0,"Animal Emergency Clinic
4.0","Grand Terrace, CA",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
4,Part-Time Warehouse Worker Hiring Event,$50k-$128k (Glassdoor Est.),"UPS Hiring Event! Offers on the Spot!

Event Details
Date: Thursday, September 10, 2020, Friday, September 11, 2020

Location: UPS, 1245 Hammerwood Ave, Sunnyvale, CA 94089 US

What We're Hiring For

Part-Time Warehouse Worker

Intake Details:

Requirements

Job requirements depend on job. See job description.

What to bring to this event

A completed application on upsjobs.com is required, but no physical copy is needed.

Completing our online application prior to the event is strongly encouraged and will speed up the process.

What to wear

Dress code is Casual (come as you are, but please be presentable).

How to get to the event

Interview times for both event dates: 6:30am - 8:30am

About UPS
*Apply before the event at upsjobs.com**
Part-Time Warehouse Worker - $17.50/hr

What is a Hiring Event?
Think of it like a job fair, but for one company and more personal. Hiring events are a great way for employers to fill multiple roles quickly. Hiring is a human process, and they would like to meet you to see if you’re a fit!",3.5,"UPS
3.5","Sunnyvale, CA",-1,10000+ Employees,1907,Company - Public,Logistics & Supply Chain,Transportation & Logistics,$10+ billion (USD),-1
5,Find jobs with Flexible Hours!,$50k-$128k (Glassdoor Est.),Search for flexible jobs that allow you to choose your own hours!,3.9,"Indeed Gigs
3.9","Los Angeles, CA",-1,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),-1
6,"Child Therapist/Clinician - LCSW, LMFT, LPCC",$50k-$128k (Glassdoor Est.),"Well known and respected Non-profit Behavioral Health organization in the San Jose area is hiring for a Therapist for their Children and Family Program for children ages 0-5. We are offering an excellent compensation and benefits package for this position as well as the opportunity to make a difference in the community!
Responsibilities *
Complete a comprehensive psychological assessment to initiate ongoing behavioral health counseling
Establish goals/treatment through a collaborative process with the client utilizing advanced counseling skills, including evidence-based practices and screening (assessments); create and update treatment plans
Complete and update case files with treatment plans, progress, behavior issues, and other related information regarding the clients behavior outcomes
Coordinate, schedule, and facilitate individual and family therapy sessions to address clients emotional, mental, and social well-being and as outlined in the treatment plan
Comply with HIPPA privacy regulations and maintain confidentiality at all times
Qualifications*
Master’s degree in Social Work, Mental Health Counseling, Counseling, Psychology, or closely related field
LCSW, LMFT, or LPCC full licensure
1 years’ relevant experience
Ability to establish rapport, trust, and boundaries with children, parents, and families
Strong people and interpersonal skills with the ability to interact with diverse groups of people
Excellent verbal and written communication skills
Job Type: Full-time

Pay: $70,000.00 - $80,000.00 per year

Benefits:
401(k)
Dental Insurance
Flexible Schedule
Health Insurance
Paid Time Off
Medical Specialty:
Psychiatry
Schedule:
Monday to Friday",5.0,"Source EQ
5.0","San Jose, CA",-1,1 to 50 Employees,-1,Unknown,-1,-1,Less than $1 million (USD),-1
7,Administrative Assistant,$50k-$128k (Glassdoor Est.),"Come join an amazing team of close to 900 employees dedicated to providing Excellence on Every Level!

The Administrative Assistant provides support to the Office and Operations Manager with minimal supervision. They will support the company mission, policies, procedures, and exhibit a commitment to excellence and collaboration. This person must be able to prioritize, handle sensitive information with confidentially and meet deadlines. A successful Admin will be innovative, committed, use independent judgment to organize a diversified workload.

ESSENTIAL FUNCTIONS

The Administrative Assistant will be assigned specific functions from the general list below but should be cross-trained to perform all listed duties.
Answer/Direct phone calls; take messages to assist Managers
Create, enter, record purchase orders for business unit
Review Driver’s Logs and Driver’s Vehicle Inspection Reports along with timecards for accuracy and maintain for records
Maintain all Job Files; create folder; file permits, Daily Work Reports, and POs
Request Certificates of Insurance of Liability and Bonds for the business unit
Business Licenses complete application and renewals for Business Unit
Overall processing of invoices for payment. Maintain client files and send completed AR to Corporate.
Complete Well Completion Reports after each job is completed
Work with accounting to clear unapproved invoices and purchase orders for month end closing.
Maintain/Updating job files and employee certificates in SharePoint
Maintain UPS/FedEx Accounts and ship packages
Process manual and/or COD checks when needed
Complete all other duties and projects as assigned
JOB REQUIREMENTS AND QUALIFICATIONS
High School Diploma, preferred Associates Degree
At least three years office experience or combination of post High School Education and experience. Excellent verbal and written skills
Must be proficient in MS word, Excel, PowerPoint and ability to learn other programs and software used by the company and ability to access and use data base
Ability to work independently and with a team, keeping confidentiality
Ability to work overtime if needed
Cascade Environmental, LLC, and our subsidiaries is an Equal Opportunity employer. All qualified applicants will receive consideration for employment without regard to race, national origin, age, sex, religion, disability, sexual orientation, marital status, veteran status, gender identity or expression, or any other basis protected by local, state or federal law. This policy applies with regard to all aspects of one’s employment, including hiring, transfer, promotion, compensation, eligibility for benefits, and termination. EEO is the Law.

Cascade is committed to offering reasonable accommodations to job applicants with disabilities. If you need assistance or an accommodation due to a disability, please contact us at (425) 527-9700.

Who is Cascade?

From our roots as a Northwest regional drilling company, we have grown into a national, full-service environmental services company offering innovative solutions to our customers. We believe in excellence at every level and that includes hiring employees who are the best at what they do. We firmly believe our employees are the most critical component of our long-term success. At Cascade, we provide a career, not just a job.

Cascade’s core purpose is to be the essential business partner that contributes to our clients’ success and advancement in tackling even the most challenging environmental and geotechnical problems, to contribute to our industry and the betterment of our employee’s careers and the communities we serve.

What does Cascade offer?
Comprehensive training and flexible career paths
Encouragement to pursue new roles nationwide, explore a variety of projects, and work with mentors and experts who help shape the industry
Comprehensive Medical/Prescription Drug/Dental/Vision
401(k) Retirement Savings Plan with Company Match
Company-paid Basic Life Insurance / Short- and Long-Term Disability
Health Reimbursement Account and Flexible Spending Account
Sick Leave / Holiday / Vacation Pay
License Bonuses / Tuition Reimbursement
Charitable Donation Match
We are proud to provide a full range of benefits programs that help our employees and their families plan for today and their future. The benefits we offer are competitive and allow flexibility and choice to meet the individual needs of our employees and their families.

Who are you?
Hard-working, talented, and career-minded
Challenge-seeking
Strong desire to contribute to a stable, diverse organization
Work hard, play hard mindset
Open to continued learning and development
Collaborative, team player
Customer service minded
Interested in learning more about Cascade and how we provide Excellence on Every Level? Click here to learn more https://www.youtube.com/watch?v=WwzxUvjbHC0.

To learn more about our exciting career opportunities at Cascade, check out our Careers site at http://www.cascade-env.com/careers",2.5,"Cascade Environmental
2.5","Upland, CA",-1,1001 to 5000 Employees,1991,Company - Private,Energy,"Oil, Gas, Energy & Utilities",$100 to $500 million (USD),-1
8,Fugitive Recovery Agent,$50k-$128k (Glassdoor Est.),"Fugitive Recovery Agent Position *
Fugitive Recovery Investigations, Inc. has an opening for a contracted Fugitive
Recovery Agent on its NORCAL North Team. The ideal applicant will have a basic understanding of California bail law and practice as well as a basic understanding of the
California Penal Code and other compliance codes, prior law enforcement and/or military experience, will be bilingual, and will be interested in a long term position with a growing company which is a top competitor in its industry.

The NORCAL North Team currently works in the northern region of California conducting fugitive investigations including, but not limited to, working with informants, working with state of the art investigative resources, conducting surveillance, performing fugitive apprehensions, conducting the transportation and booking of criminal defendants, and numerous other tasks.
Each agent is required to carry a caseload and work in a team to resolve fugitive investigations. The majority of fugitive investigations take place between Sacramento and
San Francisco Counties south to Monterey and Stanislaus Counties, however at times agents travel as the investigations require.

The work schedule is inconsistent at times and is based on investigations conducted, leads generated, and at times deadlines.
Minimum Requirements *
Be certified pursuant to 1299 and 832 of the California Penal Code
Have reliable transportation, that is registered and insured, that is conducive to surveillance and other investigative operations
Have a basic understanding of California bail law and practice as well as the California judicial system, have good time management & be able to work with limited supervision
Have all required equipment, or be able to acquire all required equipment, to provide contract services to F.R.I including a registered and legally owned firearm, protective and tactical equipment, a laptop computer, reliable cell phone with internet access, etc
Must be computer literate and willing to learn new software and database applications
Must be able to draft motions and declarations for various superior courts in regards to the cases that are assigned.
Must have tactical experience, a willingness to learn & a flexible schedule
Job Type: Commission

Schedule:
Monday to Friday
On Call
Experience:
Computer Literacy: 1 year (Preferred)
Multilingual: 1 year (Preferred)
relevant: 2 years (Required)
Commission Only:
No
Work Location:
Multiple locations
On the road
Pay Frequency:
Bi weekly or Twice monthly
This Company Describes Its Culture as:
Detail-oriented -- quality and precision-focused
Aggressive -- competitive and growth-oriented
Outcome-oriented -- results-focused with strong performance culture
People-oriented -- supportive and fairness-focused
Team-oriented -- cooperative and collaborative",-1,Fugitive Recovery Investigations Inc.,"Oakland, CA",-1,-1,-1,-1,-1,-1,-1,-1
9,Fugitive Recovery Agent,$50k-$128k (Glassdoor Est.),"Fugitive Recovery Agent Position *
Fugitive Recovery Investigations, Inc. has an opening for a contracted Fugitive
Recovery Agent on its NORCAL North Team. The ideal applicant will have a basic understanding of California bail law and practice as well as a basic understanding of the
California Penal Code and other compliance codes, prior law enforcement and/or military experience, will be bilingual, and will be interested in a long term position with a growing company which is a top competitor in its industry.

The NORCAL North Team currently works in the northern region of California conducting fugitive investigations including, but not limited to, working with informants, working with state of the art investigative resources, conducting surveillance, performing fugitive apprehensions, conducting the transportation and booking of criminal defendants, and numerous other tasks.
Each agent is required to carry a caseload and work in a team to resolve fugitive investigations. The majority of fugitive investigations take place between Sacramento and
San Francisco Counties south to Monterey and Stanislaus Counties, however at times agents travel as the investigations require.

The work schedule is inconsistent at times and is based on investigations conducted, leads generated, and at times deadlines.
Minimum Requirements *
Be certified pursuant to 1299 and 832 of the California Penal Code
Have reliable transportation, that is registered and insured, that is conducive to surveillance and other investigative operations
Have a basic understanding of California bail law and practice as well as the California judicial system, have good time management & be able to work with limited supervision
Have all required equipment, or be able to acquire all required equipment, to provide contract services to F.R.I including a registered and legally owned firearm, protective and tactical equipment, a laptop computer, reliable cell phone with internet access, etc
Must be computer literate and willing to learn new software and database applications
Must be able to draft motions and declarations for various superior courts in regards to the cases that are assigned.
Must have tactical experience, a willingness to learn & a flexible schedule
Job Type: Commission

Schedule:
Monday to Friday
On Call
Experience:
Computer Literacy: 1 year (Preferred)
Multilingual: 1 year (Preferred)
relevant: 2 years (Required)
Commission Only:
No
Work Location:
Multiple locations
On the road
Pay Frequency:
Bi weekly or Twice monthly
This Company Describes Its Culture as:
Detail-oriented -- quality and precision-focused
Aggressive -- competitive and growth-oriented
Outcome-oriented -- results-focused with strong performance culture
People-oriented -- supportive and fairness-focused
Team-oriented -- cooperative and collaborative",-1,Fugitive Recovery Investigations Inc.,"Oakland, CA",-1,-1,-1,-1,-1,-1,-1,-1
