,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Data Analyst,"$32k-$59k
(Glassdoor Est.)","As we navigate through these unprecedented times, MCMs focus continues to be our commitment to our Consumers and Employees. Over the past couple of weeks our teams have worked diligently to ensure wherever possible our employees were able to move to 100% remote work and our Consumers were still supported.

MCM continues to hire in areas which aid in the support of our Consumers and Employees. We have also leveraged our digital capabilities to continue to provide a great recruiting experience. As an applicant, you may be asked to complete a phone screen, or a virtual interview and our Recruiting Team is committed to supporting any questions you may have throughout the Interview process.

Now more than ever, we have a high demand for goal-driven, motivated individuals to join our team.

The Data Analyst is primarily responsible for using data extraction tools, largely Excel, SQL, and Python to perform in-depth analysis of programs and opportunities in the business. The Data Analyst will make recommendations to improve the operational processes based on their analysis and may design strategies to implement those recommendations. The analyst will then coordinate with other stakeholders to ensure the implementations meet the needs of the business. The primary area of focus for the data analyst is working with data related to Encore Advantages customers and tailoring strategies to best serve them.

The position is also responsible for creating and monitoring reports to identify trends, issues and opportunities.

Responsibilities:
Create and monitor reports to identify issues, trends, and opportunities.
Extract and analyze data to support business initiatives (e.g. profitability, performance and variance analysis).
Recommend improvements related to business profitability or processes.
Collaborate with relevant stakeholders to design and execute new strategies
Qualifications:

Required: Bachelor; Quantitative field",3.5,"Midland Credit Management
3.5","San Diego, CA",-1,1001 to 5000 Employees,1953,Subsidiary or Business Segment,Banks & Credit Unions,Finance,$1 to $2 billion (USD),-1
1,Principal Data Analyst,"$64k-$114k
(Glassdoor Est.)","Principal Data Analyst
Job Code

4018

Location


US - Carson, CA Corporate HQ

Position Type


Regular Full-Time

Apply Now

Dermalogica is looking for a talented PRINCIPAL DATA ANALYST

The Principal Data Analyst, through research and analysis of data from different functional systems, will develop data integration/aggregation solutions to support data analytics and visualization tools. The ideal candidate will partner with executive stakeholders, finance/operations/sales subject matter experts and functional leaders in creating robust and scalable data analytics solutions for business insight. The data analyst must possess a collaborative attitude, strong oral/written presentation skills, excellent problem-solving skills, and solid analytical/critical thinking skills.

Essential Duties:
Design and implement a flexible data access platform for operational data stores/islands, data warehouses, data marts and data lakes using standard practices as well as documenting the systems of record, data dictionaries and data flow diagrams for strategic data management
Using logical data models, help build data marts for analysis to determine trends and significant data relationships across different functional areas
Translate business needs into data modeling and reporting initiatives
Work with business stakeholders to interpret data to identify trends to go across future data sets
Adapt standard or develop novel applications of classification, forecasting, simulation, optimization, and summarization techniques
Create compelling interactive visualizations and presentations to enhance decision making capabilities throughout the company
Develop extracts, transforms, and loads with SQL
Drive AWS/Azure cloud data platform architectural decisions and development standards
Actively contribute towards data migration tasks from on-premises to cloud
Multi-task across several ongoing projects and daily duties of varying priorities as required
Ability to make good judgments, decisions, negotiate and drive problem resolutions
Create detailed technical specifications and release documentation for assigned ETL and reporting projects
Qualifications

Education and/or Experience:
Experience with Data Warehousing methodologies and concepts
Experience working with large data sets.
Expert knowledge of analytical tools and scripting languages
Extensive experience with BI/DW lifecycle including source data analysis, ETL, data marts, reporting, dashboards, and analytics
8+ years of experience working with MS SQL Server database. Mastery of SQL, specifically MS SQL Server 2012 and higher.
8+ years of experience developing ETL processes with large scale data warehouses required
2+ years working in DevOps, automating, and deploying packages between different environments
5+ years working in Alteryx, Power BI
Specific Skills/Knowledge:
High proficiency in dimensional modeling techniques and their applications including star schemas
Familiarity with Data Governance and Master Data Management principles
Ability to work with structured and unstructured source data
Apply now and become a team member for a company that provides competitive salaries, outstanding benefits including Health Benefits, Monthly Product Allowances, Profit Sharing, Annual Fitness Reimbursement, Domestic Partner Benefits, 401(k) Matching, not to mention a host of other perks!

To be considered for this role, please click on ""Apply Now"" to complete the online application. Please know that all applications are reviewed for consideration. A member of the Human Resources team will contact you if your experience and skills are a match for the position.

Dermalogica is an equal opportunity employer that embraces diversity.",3.9,"Dermalogica
3.9","Carson, CA",-1,201 to 500 Employees,1986,Subsidiary or Business Segment,Consumer Products Manufacturing,Manufacturing,$100 to $500 million (USD),-1
2,Clinical Data Programmer/Analyst,-1,"Clinical Data Programmer/Analyst supports clinical trial data management and programming tasks associated with creating, verifying, and documenting analyses and reporting while adhering to study protocols, analysis plans and industry standards.
GENERAL DUTIES AND ESSENTIAL JOB FUNCTIONS: *
Plan and manage programming activities across multiple trials to deliver all data analysis outputs to agreed timelines and quality, (e.g., analysis datasets, tables, figures and listings for regulatory submissions and publications).
Assist in deploying process changes and user adoption of EDC platform, reporting platforms, CTMS, LIMS, eTMS and other Clinical applications across the enterprise.
Proficiency in developing reports requested by stakeholders using ANSI SQL and other scripting languages
Support data migration activities including data cleaning and adjudication processes.
Implement data standards within a function, or therapeutic area in accordance with industry standards
Experience creating status reports, including building KPIs, dashboards and data visualization capabilities for use in study teams is desirable
Responsible for programming and QC across a trial/asset including submission activities adhering to relevant SOPs / policies.
Participate in the design of other trialdelivery components (e.g. case report forms, trial databases).
Review and input into key study documents (e.g. SAP, CRFs, Data Management Plans etc).
Develop broader technical knowledge and expertise (e.g. UNIX scripting, computing environments).
Provide technical advice, mentoring and training as relevant.
Identify recurring problems and work with colleagues to initiate process improvement
Possesses the analytical ability to define problems and interpret the information
Oversee outsourced tasks to third party vendors to meet the agreed timelines, quality and budget requirements established for the project or study.
Understanding of US regulations and guidelines applicable to clinical trials, inspection readiness and system validation
Skills/Competencies

Required Qualifications:
Bachelor’s Degree in engineering, Biotechnology, Computer Applications or related disciplines
Proficient in writing fine-tuned SQL queries, stored procedures (eg. PL/SQL code) and working with data in relational databases like Postgres, SQL Server, MySQL, Oracle etc.
More than 2 years’ experience in SQL and/or programming for clinical trial databases
Database design/administration experience (Design, implementation, modification) for clinical trial databases
Ability to recognize and resolve system related problems; work independently and make necessary decisions throughout the systems process within department guidelines.
Effective written and verbal communication skills.
Preferred qualifications:
Knowledge of non-SAS programming packages/languages (e.g. Tableau, Spotfire, S-Plus, R)
Familiarity with Object Data Model (ODM) and xpath form development
Working knowledge of CDISC data standards, primarily the creation and use of ADaM datasets
Experience of interacting with clinical study team members
Ability to manage conflicting demands and priorities
Job Type: Full-time

Benefits:
401(k)
401(k) Matching
Dental Insurance
Disability Insurance
Flexible Schedule
Flexible Spending Account
Health Insurance
Life Insurance
Paid Time Off
Retirement Plan
Vision Insurance
Schedule:
Monday to Friday
Experience:
relevant: 2 years (Required)
Application Question:
Demonstrated knowledge of FDA and GCP guidelines and regulations covering clinical trials, statistics, and data management
Work Location:
One location
Company's website:
https://www.quantumleaphealth.org/
Benefit Conditions:
Waiting period may apply
Only full-time employees eligible",1.7,"Quantum Leap Healthcare
1.7","San Francisco, CA",-1,1 to 50 Employees,-1,Nonprofit Organization,-1,-1,Less than $1 million (USD),-1
3,EEO/Affirmative Action Data Analyst,-1,"Works and proactivley interacts directly with client corporate human resource personnel during all stages of the affirmative action plan preparation process.
Responsible for collecting, validating and formatting data for preparing affirmative action programs as well as VETS and EEO-1 filing for clients.
Analyzes employment data from government contractors to develop and maintain Affirmative Action Programs that are EO 11246, Section 503, and VEVRAA compliant.
Conducts extensive analysis of workforce data in Microsoft Excel and dedicated Affirmative Action software on behalf of HR Unlimited, Inc clients.
Successfully use and understand Excel tools such as filtering, VLOOKUP, and pivot tables.
Coordinates and assists in the development of Excel-based Macros used for all the firm’s statistical analyses
Use strong verbal and written communication skills to interface with clients.
Create visually impactful data, with tools such as Tableau, to explain statistical results of analysis.
Identifies problem areas within client's current workforce makeup and other areas for improvement.
Supports clients through OFCCP audits from receipt of scheduling letter through closure.
Makes presentations to review Affirmative Action Analysis with clients
Collaborates with other employees in a small team environment to complete work and projects.
Performs other duties and special projects as assigned.
Job Type: Full-time

Pay: $17.00 - $20.00 per hour

Benefits:
Dental Insurance
Health Insurance
Paid Time Off
Tuition Reimbursement
Schedule:
Monday to Friday
Supplemental Pay:
Bonus pay
COVID-19 considerations:
The employer enforces and maintains safety protocol to avoid COVID 19 and to protect its employees health and safety. Masks are required, social distancing maintained, and sanitizers are available. Temperature check upon arriving to work is available

Experience:
Affirmative Action Plan preparation: 1 year (Required)
Education:
Bachelor's (Required)
Location:
Santa Ana, CA 92705 (Preferred)
License:
PHR (Preferred)
Work authorization:
United States (Required)
Working Days:
Monday (Required)
Tuesday (Required)
Wednesday (Required)
Thursday (Required)
Friday (Required)
Application Question:
Experience with Excel Macro is a plus.
Excellent interpersonal communications
Excellent verbal and written communications
customer service experience is required

Work Location:
One location
Company's website:
www.hrunlimitedinc.com
Benefit Conditions:
Waiting period may apply
Work Remotely:
No",3.4,"HR Unlimited, Inc.
3.4","Santa Ana, CA",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
4,Data Analyst - Client Success,"$55k-$101k
(Glassdoor Est.)","Data Analyst (Client Success)*
Are you looking to contribute your skill in data analysis to optimize business outcomes for a top performing account management team at a growing, successful company in an exciting, technology-driven industry?

Welcome to ALOM. We are an award-winning global supply chain leader that develops and implements highly optimized product delivery strategies for our customers representing leading brands in the automotive, energy, technology, and medical industries. Every minute of every day ALOM staff and systems affect manufacturing, eCommerce, fulfillment, and logistics operations all over the world. Sound exciting? It is!

See your career grow in an environment where innovative problem solving and professional development are encouraged and the company culture is based upon respect for diversity and operational excellence.

We are currently onboarding new customer programs and hiring to fill a Data Analyst position supporting our Client Success team at our Fremont, CA headquarters.
POSITION OVERVIEW*
The Data Analyst fills a critical life-cycle data generation and business optimization function within our Client Success team. You will support client requirements including data collection, reporting, modeling, research and data analysis to identify useful trends and provide relevant information that will facilitate informed decisions and improve business processes. We are looking for a solution-oriented data analyst with 5 years of job experience and a Bachelor’s degree in information management, computer science or mathematical statistics. We require a candidate that is an effective communicator and organized multi-tasker who can work effectively in both a team oriented environment, and independently in a fast-paced and changing environment. Of course you will be a master of Microsoft Excel including the ability to write macros and do pivot tables. You must also be proficient in Microsoft Office tools, MRP and ERP system operation, and think objectively when interpreting raw data or challenged to identify patterns and project outcomes.

This position is an excellent opportunity to work with a high-performing, world-class team. You will experience the thrill and satisfaction of seeing your research and data analysis in action and positively affecting supply chain operations for many of the world’s leading brands.

Does this sound like the opportunity and challenge you have been looking for to advance your career? If so, we would like to hear from you.

Reports to: Director of Client Success

Key Responsibilities and Job Duties

· Examine and evaluate existing business practices, systems and data, to offer suggestions aimed at creating efficiencies and streamlining operations

· Compile Excel spreadsheets with data, macros, formulas and create visualizations, including dashboards, flowcharts, graphs and reports

· Conduct research into data anomalies or other relevant information related to individual queries or systemic issues

· Apply predictive analysis and tools to forecast and employ business analytics (including an enhanced ability to quantify and qualify data)

· Present findings and relay business concepts clearly via reports, presentations, and verbal communication to colleagues

· Create and design specifications as requested by account management

· Be highly organized and dedicated to quality, safety, and customer satisfaction

ALOM offers competitive salaries and benefits including; medical, dental, vision, life insurance, long term disability, flexible spending, employer HSA contribution, 401(k) with match, vacation, sick leave and PTO. Bottom line; ALOM is a great place to work! If you want to be a part of a growing, firmly established, and success-driven company that values and invests in the development of its staff we encourage you to submit your resume. ALOM was selected as one of The Bay Area News Group's Top 100 Workplaces for the past seven years.

Equal Opportunity Employer

Job Type: Full-time

Benefits:
401(k) Matching
Dental Insurance
Health Insurance
Life Insurance
Paid Time Off
Vision Insurance
Schedule:
Monday to Friday
Experience:
Data Analysis: 5 years (Required)
Education:
Bachelor's (Required)
Work authorization:
United States (Required)
Company's website:
alom.com
Benefit Conditions:
Waiting period may apply
Work Remotely:
No",3.9,"ALOM Technologies
3.9","Fremont, CA",-1,51 to 200 Employees,-1,Unknown,-1,-1,$10 to $25 million (USD),-1
5,Transportation Data Analyst III,"$55k-$94k
(Glassdoor Est.)","About the Opportunity
The Transportation Data Analyst III is responsible to develop and maintain data analytics to measure and drive outstanding service and financial performance of the transportation and customs compliance network, across the United States, Mexico and Canada. Ability to work in a fast pace environment; partnering with management and team members to develop dynamic analytics within transportation and customs compliance that will guide continuous business improvement decisions to optimize service and financial performance.
Responsibilities
Engage with leadership and team members within transportation, customs compliance, and cross functionally, to create data analytics around key performance and financial metrics to identify data driven business decisions.
Create, develop and manage analytics using Excel, SQL and Tableau.
Analyze, model, mine, and interpret data generate new ideas through a deep understanding of the data, supply chain, customers and business.
Manage large databases that include data from various sources.
Translate data into actionable insights.
Manage report data quality, stability, scalability and trustworthiness over time.
Conduct exploratory analysis for improvement opportunities in business areas not actively monitored by stakeholders.
Present business insights, data, and KPI’s to team members and leadership.
Oversee the process to pay carriers weekly, and perform month end reporting.
Develop and implement SOP’s to effectively manage data and reporting.
Candidate Profile


Bachelor’s degree in Supply Chain/ Logistics / Business Analytics with 3+yrs years’ experience in supply chain, logistics and/or transportation / customs compliance.
Excellent oral and written communications skills with the ability to communicate professionally and effectively at multiple levels both inside and outside of the organization.
Highly proficient with Tableau, SQL, and Microsoft Office applications, including Excel, Word, Power Point and Outlook.
Strong track record of performing high impact business analysis and building useful data tools with tangible business results.
Strong storytelling – interpreting insights into a concise and compelling story others can embrace.
Possess a thorough understanding of transportation finance, operations, internal systems and network functions.
Complete tasks and projects in an accurate, timely, and efficient manner.
Ability to thrive in a fast paced, and collaborative environment with a diverse group of individuals.
Bilingual – English/Spanish preferred.
Perform other duties as assigned by Driscoll’s management.
Driscoll's",4.2,"Driscoll's
4.2","Watsonville, CA",-1,1001 to 5000 Employees,1900,Company - Private,Food Production,Agriculture & Forestry,$2 to $5 billion (USD),-1
6,Product Data Analyst,"$55k-$103k
(Glassdoor Est.)","OVERVIEW:

As the Company expands its product offerings, there are rapidly growing needs to use both external and internal data sources to ensure optimal financial and operational performance. The Product Data Analyst is a highly skilled and proficient in their discipline which adds value to the organization. The role will focus on internal data sources, ensuring we have access to the required data and are using effective reports to monitor and interpret this data.

TEAM OVERVIEW:

The Product Strategy Group works to ensure the Company offers competitive products that provide growth and profitability. The group performs a wide range of analytics and uses both internal and external data sources to achieve these ends. We interact and provide guidance primarily to Product, Marketing & Finance.

COMPANY PERKS:

Competitive pay, 401k with company match, Medical, Dental and Vision Insurance, Employee Stock Purchase Plan, Educational Reimbursement, Commuter benefits, Discount programs, Inventor patent bonuses

COMPANY OVERVIEW:

Stamps.com (NASDAQ: STMP) is the leading provider of postage online and shipping software solutions to customers including consumers, small businesses, e-commerce shippers, enterprises, and high volume shippers. Stamps.com offers solutions that help businesses run their shipping operations more smoothly and function more successfully under the brand names Stamps.com, Endicia®, ShipStation®, ShipEngine®, ShippingEasy®, ShipWorks®, GlobalPost and MetaPack™. Stamps.com’s family of brands provides seamless access to mailing and shipping services through integrations with more than 500 unique partner applications.

RESPONSIBILITIES:

Primary Objectives:
Ensure Product, Operations and Product Strategy groups have timely access to reliable data to make critical, real-time business decisions
Develop a strong working relationship with the Company’s Business Intelligence group; serve as the primarily liaison between the above-mentioned groups and BI
Drive the data reporting strategy for these groups; develop reports to the specifications of these teams; and evaluate appropriate software tools to most efficiently meet team needs
Essential Position Duties:
Acquire, clean, and structure data from multiple sources; analyze data to discover and interpret trends, patterns, and relationships. Working across departments, help us ensure data quality and present data in a way that makes it easy to communicate among different groups.
Master large data sets with SQL and Tableau
Build dashboards and reports, presenting key insights and ensuring data driven actions to improve the business
Seek out improvements in current internal reporting and performance monitoring to drive more accuracy, better insights, and more streamlined processes
Perform other duties as assigned
Additional Job Duties:
Sit for prolonged periods of time
Utilize wrist and hands for a prolonged period of time
Walk short distances
Stand for short periods
Speaking and conversing with others
Lift up to 25 lbs without assistance up to chest height
QUALIFICATIONS:

Education and/or Experience:
Bachelor degree, preferably in a quantitative/analytical field.
Four or more (4+) years of relevant experience.
Skills and Knowledge:
Excellent analytical and fact-based problem solving skills, including ability to analyze large amounts of data and be able to make recommendations based on identification of trend and gaps along with creating forecasts based on historical data.
Excellent analytical and fact-based problem solving skills, with strong attention to detail.
Must be a self-starter and ready to work in an intense but fun environment with our existing team of marketing professionals.
Strong communication and relationship-building skills.
Self-motivated individual who is able to prioritize and multi-task.
Works well under pressure and able to meet tight deadlines.
Ability to conduct complex work under minimal supervision and with wide latitude for independent judgement.
Computer/Software/Application Proficiency:
Advanced Excel user, with strong SQL knowledge
Experience with visualization software such as Tableau required
Travel Requirements:
None anticipated
Equal Opportunity Employer/Veterans/Disabled

If you are based in California, we encourage you to read this important information about the Stamps.com Privacy Policy for California residents linked here.

#LI-KD1",3.8,"Stamps.com
3.8","El Segundo, CA",-1,1001 to 5000 Employees,1996,Company - Public,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),-1
7,Data Visualization Analyst,"$57k-$104k
(Glassdoor Est.)","Job Requisition ID #
20WD41504

Position Overview

We’re looking for a talented Data Visualization Analyst to join our Analytics team. This role will serve as a subject matter expert (SME) in Visualization and Business Intelligence development. Focus on this role will be on Data Visualization, Dashboarding & Storytelling, including the development of visual representations of data combining industry-proven best practices with ingenuity to produce compelling data stories that will help our business make rapid data-driven decisions. You will help to reveal a deeper understanding of our performance and opportunities across Autodesk Construction Services (ACS) groups including Product, Sales, Marketing, and Customer Support.

You’ll get to solve highly analytical problems that have a direct and considerable impact on Autodesk Construction Services. You will develop an end-to-end understanding of Data & Analytics, from ETL to Dashboarding to Predictive Modeling. Very few analyst roles have this amount of breadth. The role is highly cross-functional, which means you get to work with Product, Sales, Customer Success, Marketing. You’ll get a deep insight into all of our efforts as we seek to shape the future of the construction industry. Your work will help us design better products, improve user experience, and inform overall business strategy. We use modern data-stack that will allow you to move quickly and learn relevant industry technologies

Responsibilities
Create easy-to-consume dashboards of key metrics; monitor and share insights at a frequent cadence
Visualize data to communicate the performance and impact of various product changes
Design, build and automate reports that provide actionable insight on key metrics
Develop insightful and interactive business intelligence reports (KPIs, operating metrics, business metrics, ad-hoc queries), dashboards, and scorecards in regular cadence
Collaborate with stakeholders to ensure the creation and delivery of the new/enhanced reports/dashboards
Minimum Qualifications
Advanced data visualization skills, show the ability to tell stories and make dashboards actionable
2+ years of relevant experience
Hands-on experience with a cloud-based data-warehousing system (Snowflake)
Strong SQL skills
Strong experience in major BI tools (ie, Looker, Tableau)
Great communication skills with analysts and non-analysts alike
Excellent written and verbal communication skills
Preferred Qualifications
BS/MS in Business, Economics, Engineering, Math, Statistics, or equivalent experience
Ability to problem-solve and understand key drivers of the business
Experience in Python/R
Predictive modeling experience
About Autodesk Construction Solutions
Autodesk has fully reimagined the construction business for the digital age, enabling companies to address the most important challenges they face today while preparing for new ways of working in the future. The Autodesk Construction Solutions (ACS) portfolio connects the office, trailer and field so customers can move seamlessly through each phase of a building’s lifecycle - from design and preconstruction to construction, turnover and operations - with best-in-class solutions that include Assemble Systems, BIM 360, BuildingConnected and PlanGrid. General contractors, subcontractors, and owners around the world rely on ACS to win more work, enhance collaboration, speed decision-making, reduce risk, and improve overall project outcomes.

#ACSCareers

#LI-POST

At Autodesk, we're building a diverse workplace and an inclusive culture to give more people the chance to imagine, design, and make a better world. Autodesk is proud to be an equal opportunity employer and considers all qualified applicants for employment without regard to race, color, religion, age, sex, sexual orientation, gender, gender identity, national origin, disability, veteran status or any other legally protected characteristic. We also consider for employment all qualified applicants regardless of criminal histories, consistent with applicable law.

Are you an existing contractor or consultant with Autodesk? Please search for open jobs and apply internally (not on this external site). If you have any questions or require support, contact Autodesk Careers.",3.9,"Autodesk
3.9","San Francisco, CA",-1,5001 to 10000 Employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),-1
8,Business Data Analyst,"$43k-$84k
(Glassdoor Est.)","Responsibilities include developing and tracking of key statistical information and performance metrics, preparing various reporting views, gathering requirements for new reporting, Organizing and presenting data to management.

Querying for ad-hoc data requests
Gather requirements for new reporting and develop of new reporting views
Organize, prepare, and present data to management
Prepare supporting work papers and tie outs for all fillings
Develop and perform complex analysis and modeling
Prepare statements of cash flows for the subsidiaries
Provide analytical support to Manager
Deliver data and other support information requests as needed for audits and reviews conducted by external auditors
Assist in the debt compliance reporting process, including understanding of debt agreements and creating the necessary reporting from those agreements
Participate in the earnings release process including assisting with the preparation of the quarterly management reporting package, preparation and analysis of support for investor relations as required and review of financial information included in the earnings release and script;
Take part Sr. level meetings and provide analytical insight to management to drive business strategy
Perform other related duties as required and assigned
Demonstrate behaviors which are aligned with the organization’s desired culture and values
Work with internal and external business partners to collaborate and deliver enterprise related project

Requires a BA/BS in Finance/Accounting or related fields; Master’s degree preferred
Must be highly proficient in Excel and Word
Moderate Structured Query Language (SQL) skill preferred
Moderate understanding and application of GAAP and SEC/financial reporting requirements including financial statements and financial statement footnotes
SEC and technical reporting experience (10Ks, 10Qs, 8Ks) preferred
Must be a team player with strong attention to detail and able to work independently
Proven track record at delivering timely and accurate information in a fast-paced environment
Excellent critical thinking, problem solving, mathematical skills and sound judgment
Financial Services and, if possible, mortgage industry experience preferred
Strong business acumen and ability to interface with executive management

1
Bachelor's Degree",3.9,"PennyMac
3.9","Westlake Village, Los Angeles, CA",-1,1001 to 5000 Employees,2008,Company - Public,Lending,Finance,$500 million to $1 billion (USD),-1
9,Senior Data Analytics Analyst (Corporate Quality),"$59k-$104k
(Glassdoor Est.)","This Senior Data Analytics Analyst for Corporate Quality will be responsible for collecting and preparing data, managing varied sources of data, and maintaining reports for distribution. This role will collaborate cross functionally with various areas of the organizations to develop a deep understanding of Quality metrics of the Edwards business and will be accountable for architecting and implementing data modeling solutions that improve business processes. The successful individual must have a combination of analytical skills, data management understanding, and business acumen with an ability to think enterprise-wide. The Sr. Analyst would be comfortable with interacting with upper management and enforcing standards.

Key Responsibilities:
Data Management and Preparation: Identify, evaluate, cleanse, and organize disparate data sources. Identify data sources available and collect primary data where necessary. - Understand and assess the value of data sources based on our organizational need. Prepare and structure data within our systems for analysis.
Data Analysis: Administer and maintain our models, dashboards and reporting tools for distribution of analysis. Support and automate the ongoing analysis of trends and key performance metrics. Perform ad hoc analysis as assigned and identify new opportunities for value-add analytics as needed.
Collaboration: Work across functions to understand the nuances of our data from across the organization and external sources. Seek to understand the data and analytical needs of our stakeholders. Work closely with the IT organization to manage and maintain data within our systems.
Required Qualifications:
Bachelor's Degree with 5 years of experience with data analytics; OR Master’s degree with 3 years of experience with data analytics.
Experience developing queries, analyzing data and developing reports, dashboards and data insights
Experience with data visualization/modeling related tools such as: Power BI, Tableau, Raw, QlikView, Spotfire, etc.
Utilizing programming languages such as: Python, R, C/C++, JAVA, or other similar languages
Using reporting tools and querying languages such as: SQL, SAS, Crystal Reports, SAP Hana, or similar
Preferred Qualifications:
Experience in the medical device, pharma, biotech, or healthcare related industries
Experience with electronic Quality Management Systems (ETQ Reliance, Sparta TrackWise, Pilgrim SmartSolve, CATSWeb, etc)
Knowledge and experience with Quality Systems (e.g. CAPAs, NCRs, Complaints, etc)
Excellent written and verbal communication skills
Results-oriented, positive “can-do” attitude with demonstration of appropriate urgency and initiative
Detail-oriented, producing high quality work
Ability to influence and build strong relationships is essential
Strong ability to manage and work with different cultures and nationalities
Ability to manage competing and evolving priorities in a fast-paced environment
Ability to adapt to new technologies and rapidly changing environment
Participate in project communications, training materials, and business procedures/documentation
Edwards is an Equal Opportunity/Affirmative Action employer including protected Veterans and individuals with disabilities.",3.7,"Edwards Lifesciences
3.7","Irvine, CA",-1,10000+ Employees,1958,Company - Public,Health Care Products Manufacturing,Manufacturing,$2 to $5 billion (USD),-1
