,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Senior Software Engineer - Data Virtualization Virtual Hiring Event,"$86k-$172k
(Glassdoor Est.)","Delta Dental of California Senior Software Engineer - Data Virtualization Hiring Event!

Event Details
Date: Wednesday, September 16, 2020

What We're Hiring For

Senior Software Engineer - Data Virtualization

Intake Details:

Requirements

Exceptional SQL skills, proficient in working with large datasets

Prior experience in data virtualization tools

Must be able to work full time as a direct hire

Technical requirements
Solid internet connection, microphone or headphones, and video capabilities
What to bring to this event

Resume

Completing our online application prior to the event is strongly encouraged and will speed up the process.

What to wear

Dress code is Casual (come as you are, but please be presentable).

About Delta Dental of California

At Delta Dental, our strategy is only as strong as the people who execute it! We are hiring individuals that are not just right for today but also for our future. We have built a foundation of high-trust by treating all people with dignity, making and keeping commitments, and consistently striving to do the right thing. Our leaders optimistically share future possibilities to inspire and motivate others toward their full potential. We expect our employees to find ways to embrace positive change, be curious and challenge the status quo, and provide solutions to unmet problems. Joining Delta Dental means joining a culture focused on fostering development, building genuine connections, recognizing each other’s strengths and sharing in successes.

What is a Virtual Hiring Event?
Virtual hiring events are a great way for employers and jobseekers to connect, even if they aren't in the same physical location. Hiring is a human process, and they would like to talk with you online (either through chat, on the phone, or video) to see if you’re a fit!

Ability to analyze, conceptualize, and create end-to-end technical design and mapping documents.
Exceptional SQL skills, proficient in working with large datasets.
Prior experience in data virtualization tools (Denodo or Tibco Data Virtualization preferred).
An understanding of database internals.
Develop solutions with performance and quality in mind the first time around.
Ability to comprehend ER diagrams and translate them into an implementation model.
Ability to perform unit testing of Data Virtualization solutions.
Comfortable working in a Windows and Unix environment.
Experience with iterative software development.
Demonstrated ability with creative, out-of-the-box thinking to solve complex technical problems is desired.
Detail oriented with problem-solving capabilities.
Knowledge and application of English grammar, composition, editing and proofreading.
Strong organizational/time management, project management skills, and multi-tasking abilities.",3.7,"Delta Dental of California
3.7","San Francisco, CA",-1,1 to 50 Employees,-1,Nonprofit Organization,Insurance Carriers,Insurance,$10 to $25 million (USD),-1
1,Data QA Engineer,"$48k-$82k
(Glassdoor Est.)","Job Description: Data QA Engineer
Location: San Jose, CA
Department: Quality Engineering
Hours/Shift: Full Time
Reports To: VP, Software Engineering
Job Description:
Affinity Solutions is looking for a self-motivated mid-level Data QA Engineer to lead the testing framework design, development, automation for our big data infrastructure leveraging latest technologies such as Hadoop and Spark, both on-premise and in the cloud. This position requires experience in testing and automation of data pipelines, data services, data warehouses, business intelligence and machine learning platforms, especially around unified consumer transactional, demographic and behavioral data.
The ideal candidate is a passionate and highly skilled individual, who can utilize programming and analytics tools/technologies such as SQL/NoSQL, Python, and Tableau to validate products, data pipelines and data deliverables. If you have experience in automation, quality engineering of data centric applications/systems, especially around credit/debit card transactions, unified consumer behavioral and profile data, and excited about leveraging your experience to catapult into hyper-growth, this job is for you.
Responsibilities:
Design and implement Test Automation frameworks using Python, node.js, SQL, javascript and React JS.
Develop test strategies, plans, test cases and engineering best practices related to software test engineering, both manual and automated testing with a specific focus on data quality
Work closely with data engineers, data scientists and analysts to inform solution designs in terms of testability.
Building and automating testing frameworks around data ingestion pipelines for master data management, deep-learning, and predictive analytics
Build and maintain testing frameworks for big data environments that are highly secure, scalable, flexible, and performant using appropriate SQL technologies.
Lead data governance and data profiling efforts to ensure data quality and proper meta data documentation for data lineage.
Creating quality metrics to evaluate data pipelines, products and customer deliverables.
Collaborate with diverse technical and non-technical teams located across multiple time-zones on client deliverables and technical support
Participate-in and contribute to design and code reviews
Qualifications:
Bachelor’s or Master’s degree in Computer Science or related field such as Mathematics and Statistics, preferably with focus on data analytics.
3+ years of experience in data integration / data engineering
3+ years of experience in data modeling and architecture
3+ years of experience in QA automation
Experience in working with large scale Enterprise data warehouse, data integration, data migration and data quality verification
Hands-on testing experience in working Hadoop, Spark and other Big data technologies is highly preferred
Knowledge of data pipelines using SQL, Hive, Spark, Spark ML
Excellent analytics, problem-solving and debugging skills",3.0,"Affinity Solutions
3.0","San Jose, CA",-1,51 to 200 Employees,1998,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1
2,Process Control Engineer (Fort Hunter Liggett),-1,"The Opportunity: *
Integrate advanced modeling and data analytics with the company’s control and data acquisition systems. This is a core focus for the company’s ongoing technology improvement and will also establish the basis to service and support the future distributed customer base. This position reports to the Engineering Manager and reside at the Fort Hunter Liggett plant.

Sierra Energy offers the following benefits to its full-time employees:
No-cost for employee-only health insurance plan that includes medical, dental and vision
401(k) retirement plan
Incentive stock options
Paid time off and holiday pay
The most important benefit is the global impact that you will make working at Sierra Energy!
Process Control Engineer Essential Job Duties/Responsibilities: *
Develop close understanding of process and operational needs and translate these to conceptual and detailed functional specifications for the control system
Design and implement control strategies, instrumentation and systems that are well matched to the physical and operational requirements of the unit operations
Solve complex control problems to maximize process stability and responsiveness while maximizing overall process efficiency
Participate in process safety review meetings and ensure implementation of robust instrumentation and logic as control or mitigation measures both at DCS and local control level
Work with engineers and instrumentation technicians to implement control strategies, instrumentation, computer hardware and programming
Manage 3rd party instrumentation and control engineering contractors and suppliers and ensure delivery of agreed scope within budget and on-time when such services and products are required
Implement advanced process control schemes to ensure stable operation of a gasification process with widely varying feed material. These may include model predictive control and elements of AI / ML
Develop infrastructure and capabilities for future monitoring of multiple remote sites including early warning and operator assistance systems as well as system “dashboard” overviews.
Develop internal capabilities and competencies to enable data acquisition from future distributed sites and leverage this for ongoing process improvements
Process Control Engineer Required Experience and Qualifications: *
5 years’ experience designing and implementing instrumentation and process control strategies for packaged equipment
A Bachelor’s Degree in Electrical Engineering or graduate specialization in Process Control and Automation
A graduate qualification in advanced control, informatics and AI / ML will be a definite plus
Desire and drive to stay at the cutting edge of this rapidly evolving field
3+ years' controls engineering experience
Knowledge, Skills and Abilities:
Allen Bradley ControlLogix programming is highly desired (Ladder and Function Block programming)
Instrument specifications (gas and liquid flow, pressure, temperature, level, control valves and other final control elements, actuators)
HMI Programming in Rockwell Automation FactoryTalk View environment is highly desired
Experience with Rockwell Automation PlantPAx process library a plus
Build and maintain databases for large volumes of process data, create or select algorithms to process, visualize and interpret data
Experience with OSIsoft PI Historian database management is highly desired
Knowledge of latest developments in AI / ML, relevant algorithms, and ability to select, qualify and manage vendors to support this effort
Experience integrating packaged equipment with DCS systems or upgrading legacy control systems into modern DCS architectures a plus
Development of instrumentation and control system specifications and design documents
Control system architecture and wiring design, including SCADA, Ethernet and Modbus Familiar with AutoCAD for P&ID and Control Panel drawings, etc.
Coordination with colleagues in other engineering disciplines
Coordination with clients, equipment vendors and contractors on projects
Field commissioning support on project during start-up efforts
Supervision: Receive very general guidance with respect to overall objectives; usually exercise independent discretion and judgment regarding significant matters; operate within company guidelines using independent discretion or judgment to achieve assigned objectives.
Physical Requirements: *
Ability to lift up to 50 pounds, climb process ladders and stairways and work safely on elevated process assemblies in all environments.
Must be able to perform tasks necessary at the project sites. These tasks require that the candidate can: hear alarms, have good color vision and ability to distinguish color traced wiring & schematics, communicate via radio, work in inclement weather, climb outdoor plant ladders and superstructure, comply with safety policies, procedures, rules and regulations.
Working Conditions and Travel: *
The position is based at Fort Hunter Liggett Military Base in Monterey County, CA but may require travel to Sierra Energy’s Davis, CA office and other locations as needed.
Work outdoors in appropriate personal protective equipment, including rain, cold, and heat (14-degree F to 114-degree F).
Work up to 12 hour rotating shifts as required to support commissioning and operational objectives
Other Requirements: *
Must pass military background checks to access US Military facilities.
Must have acceptable results for post-offer background checks, drug screen, and medical tests/exams.
Must be eligible to work in the U.S. without sponsorship.
Working Conditions and Travel:
The position is based at Fort Hunter Liggett Military Base in Monterey County, CA but may require travel to Sierra Energy’s Davis, CA office and other locations as needed.
Work outdoors in appropriate personal protective equipment, including rain, cold, and heat (14-degree F to 114-degree F).
Work up to 12 hour rotating shifts as required to support commissioning and operational objectives
Sierra Energy is an equal employment opportunity employer.

Job Type: Full-time

Benefits:
401(k)
Dental Insurance
Disability Insurance
Flexible Spending Account
Health Insurance
Life Insurance
Paid Time Off
Vision Insurance
Schedule:
10 Hour Shift
12 Hour Shift
8 Hour Shift
Day shift
Holidays
Monday to Friday
Night Shift
Weekends
COVID-19 considerations:
We are operating during the pandemic and have implemented measures to reduce the risk of contagion. We conduct virtual interviews and may arrange for on-site interviews. Any on-site interviews would be conducted according to our Pandemic Prevention Plan.

Experience:
designing & implementing instrument&proc control strategies: 5 years (Required)
Rockwell Automation: 1 year (Preferred)
control engineering: 3 years (Required)
Education:
Bachelor's (Required)
Work authorization:
United States (Required)
Application Question:
Can you relocate to Monterey County to work at Fort Hunter Liggett for the first few years?
Company's website:
https://sierraenergy.com/
Company's Facebook page:
https://www.facebook.com/SierraEnergy/
Benefit Conditions:
Waiting period may apply
Work Remotely:
No",4.0,"Sierra Energy Corp.
4.0","Martinez, CA",-1,1 to 50 Employees,2004,Company - Private,Energy,"Oil, Gas, Energy & Utilities",Unknown / Non-Applicable,-1
3,Senior Customer Support Engineer,-1,"Support Engineer

Location: Perspectium San Diego HQ

Reports to: Senior Director of Operations and Support

Working at Perspectium

Perspectium is solving enterprise integration challenges for some of the most data-reliant businesses in the world … and we’re growing fast. To fuel that growth, we are looking for the best and brightest in the world to join our company. Whether you’re a dazzling developer, a spectacular salesperson, a marvelous marketeer, or a calculative consultant, we would love to have you join our ranks. The pace is fast, the work is stimulating, the customers are enthusiastic, and innovation is expected. Founded in sunny San Diego, Perspectium also has offices in London.

Due to COVID-19 this position is currently working remotely through at least September 30, 2020, however, the candidate will need to be located in San Diego as they will be working in the office once the San Diego office reopens.

Responsibilities

Take part in a 24/7 on-call support schedule for our customers globally (rotating call schedule with minimal after hours calls)
Take ownership of customer issues reported and see problems through to resolution
Take ownership of continuous improvement across Customer Support methods, tools and processes
At times, personally research, diagnose, troubleshoot and identify solutions in order to resolve customer issues
Provide continuous feedback to product teams based on customer interactions and personal experience
Follow standard procedures for proper escalation of unresolved issues to the appropriate internal teams
Provide prompt and accurate feedback to customers
Ensure proper recording and closure of all issues
Document knowledge in the form of support ticket knowledge articles
Provide regular updates to support team manager

Skills, Attributes

Self-starter and entrepreneurial mindset
Thrives in a fast-paced start-up team-focused culture and adapts to a changing environment
Data-driven, strategic mindset
Logical and creative problem-solving
Excellent interpersonal and relationship management skills
Planning, organization, and facilitation skills
Ability to manage and influence others (both within and outside your own direct work-group)
Ability to summarize complex issues simply and effectively
Experience with Amazon Web Services
Experience with Unix / Linux administration
Experience with Integration methodologies and technologies
3+ years ServiceNow implementation or administration
5+ years Customer Support

This position requires a post-offer, pre-employment background check and federally compliant drug screening.

Powered by JazzHR

mRUsV0XU3c",2.0,"Perspectium
2.0","San Diego, CA",-1,51 to 200 Employees,-1,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
4,Senior Technical Support Engineer (Data Center),"$56k-$112k
(Glassdoor Est.)","*Job Description *

*Job Title *Senior Technical Support Engineer
(Data Center)
*Department *Technical Support Center (TAC)
Engineering Department
*Hiring Manager *

*Reports To *Technical Support Manager

*Approved By *Diana Monaghan
Vice President of Administration
*Date Approved *August 15, 2012

*Job Summary/Purpose *The position is part of the support team and requires
strong communication skills to coordinate with
technical subject matter experts, network architects,
and subcontractors. A strong understanding of Data

Center Infrastructure, manufacturer best practices and documentation skills are required. This is a hands-on trouble-shooting opportunity for a versatile candidate to develop and work on small to large scale network system infrastructures. Some travel to customer sites required.

*Duties/Responsibilities *1. Acts as a mentor and provides guidance and
support to engineers and technicians
2. Maintains open and professional communication
with customers and AMS.NET employees at all
times.
3. Maintains accurate time tracking in accordance
with AMS.NET procedures
4. Performs adds, moves and changes to AMS.NET systems and technology
5. Generates and accurately maintains network and system documentation
6. Supports technology for networks, data centers and communication systems
7. Support customer systems that are under contract

with AMS.NET
8. Troubleshoot and supports technology for networks, data centers and communication systems

9. Conducts trainings on various applications
10. Assist in managing TAC resources, prioritization of service requests, determining proper entitlement, assignment of service requests

11. Assist in maintaining and monitoring AMS.NET corporate infrastructure

*Skills/Qualifications *1. Hands-On Data Center troubleshooting skills
including:
Storage Arrays (SAN/NAS)
Cisco UCS and other server hardware

Fiber Channel
FCoE/iSCSI
Vmware (vSphere/ESXi)
Hyper-V
Windows Operating Systems
Backups (VEEAM/Symantec/NetWorker)

2. Professional communication skills – both written and verbal

3. Ability to meet deadlines, work under pressure and multi-tasking

4. Ability to read and understand technical documents (safety rules, maintenance instructions and procedure manuals) and pass related examinations

5. Working knowledge of Microsoft Office Suite programs (Word, Excel, Outlook, PowerPoint)

6. Ability to quickly learn and apply evolving technologies

7. Troubleshoot, identify, correct and provide root cause analysis of technical issues

8. Ability to identify and resolve customer service problems including the ability to escalate the issue to a higher level when necessary

9. Strong analytical and problem solving skills
10. Strong time management skills including ability to prioritize activities effectively
11. Strong organizational skills

*Education and *• High school diploma or equivalency
*Experience *• Degree in telecommunications, science or
engineering preferred
• 5 years’ experience in technical engineering environment and/or design preferred

*Certifications *• VMware VCP

*Special Physical *• Ability to lift 50 lbs
*Demands *• Ability to climb a ladder
• Ability to work in tight or confining work spaces

• Ability to work in dusty and/or hot environmental conditions

*Job Requirements *• Pre-employment background check required
• Valid California driver’s license
• Good driving record

• A well maintained automobile in good operating condition

• Auto insurance
• Occasional travel required

Job Type: Full-time

Education:
* High school or equivalent (Preferred)

Work Location:
* One location
* Multiple locations

Benefits:
* Health insurance
* Dental insurance
* Vision insurance
* Retirement plan
* Paid time off
* Flexible schedule",3.7,"AMS.NET
3.7","Livermore, CA",-1,51 to 200 Employees,-1,Company - Private,Telecommunications Manufacturing,Telecommunications,$50 to $100 million (USD),-1
5,Senior Data Engineer,"$95k-$174k
(Glassdoor Est.)","Brain Corp is a San Diego-based AI company creating transformative core technology for the robotics industry. Our diverse engineering teams in Software, Hardware Design, and Embedded Systems are creating comprehensive solutions to support the builders of today's autonomous machines in successfully producing, deploying, and supporting commercial robots across industries and applications. Brain Corp is funded by the SoftBank Vision Fund and Qualcomm Ventures. For more information please visit: https://www.braincorp.com/

Position Summary:

As a member of the Software Engineering team, the Senior Data Engineer owns the definition, execution, and delivery of technical architecture for Brain Corporation's Product Analytics team. Your work will improve the quality, reliability, accuracy, and consistency of our data. You will help build project-specific data pipelines and validation tools. You will have a hands-on role with product specialists and be responsible for working with them to understand data requirements and then implement those requirements in software.

Duties and Responsibilities:
Fully own critical portions of Brain Corporation's product analytics data model.
Collaborate with stakeholders to understand needs, model tables using data warehouse best practices, and develop data pipelines to ensure the timely delivery of high-quality data.
Work with technical and product stakeholders to understand data-oriented project requirements.
Write code that is understandable, simple, and easy to maintain.
Design, implement and ensure the accuracy of validation and related services for data models.
Think and work agile, including automated testing, continuous integration and deployment.
Manage numerous requests concurrently and strategically, prioritizing when necessary.
What you need:
Bachelor's in Computer Science or other related field.
5-8+ years software development experience.
Passionate about data quality and delivering effective data to impact the business.
Experience with sourcing and modeling data from application REST-like APIs.
MPP/Cloud data warehouse solutions (Snowflake, etc).
Proficiency in SQL, experience writing ETLs.
Proficiency in JavaScript/Node.js, Python, or willingness to translate experience in equivalent language.
Things that make a difference:
Master's in Computer Science or other related field.
Experience with Kafka, AMQP or other message bus.
OpenAPI/Swagger.
Express.js, NestJS.
SAML, OKTA.
Azure experience is a plus.
Being comfortable outside of your comfort zone - explore new tech, make your own tool, or find a new way to address an old problem.
Physical Demands:

The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. Essential functions may require maintaining the physical condition necessary for sitting, walking or standing for periods of time; operating a computer and keyboard; talk and hear at normal room levels; using hands to finger, grasp, and feel; repetitive motion; close visual acuity to prepare and analyze data and figures; transcribing; viewing a computer terminal; extensive reading; lift, push, carry, or pull up to 10 pounds.

Work Environment:

The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. The noise level in the work environment is usually quiet to moderate. Employee is exposed to the typical office environment with computers, printers and telephones.",3.5,"Brain Corp
3.5","San Diego, CA",-1,201 to 500 Employees,2009,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
6,Data Engineer,"$79k-$147k
(Glassdoor Est.)","WHO WE ARE

NCSOFT is a premiere digital entertainment company and global publisher with worldwide locations and more than 4,000 employees focused on bringing extraordinary games to life for millions of fans around the world. Established in 1997 and headquartered in Seoul, South Korea, we quickly became a key leader in online games. Best known for critically acclaimed franchises including Lineage, Aion, Guild Wars, and Blade & Soul, NCSOFT is also one of the world's top mobile developers with Lineage 2M occupying the #1 grossing revenue slot on Google Play. Our core goal is making people in this world happier by delivering games that entertain a globally connected audience has remained the same. Our culture is innovative, creative, collaborative and impactful, and we are passionate about creating the best gaming experiences for our players.

WHY JOIN THE BUSINESS INTELLIGENCE PLATFORM TEAM?
We are a passionate and positive team that is always working on new data engineering technology and exciting projects including new game launches.
We feel team members are most effective in working on what they are passionate about. We are all capable of working on any given project, and often shift tasks based on preference.
We own the data platform, contributing to the design, implementation, and maintenance of these data services so we aren't shy about experimenting with new tech. However, we take a measured approach in order to minimize introducing unnecessary technical debt.
We collaborate with Analytics, Game Development, Platform and Publishing teams. Our data platform supports all kinds of data in an efficient environment that helps with analysis, customer care and company wide data-driven decisions.
WHAT YOU'LL DO

As a Data Engineer, you'll be responsible for gathering and collecting data, storing it, doing batch processing or real-time processing on it, and serving it to data scientists and data analysts to easily query.
Understanding data source (10%)
Develop data processes for construction, mining, and modeling that are delivered to the data analyst/science team (30%)
Create large data warehouses by running some ETL (Extract, Transform and Load) that is used for analysis by the analyst/scientists (30%)
Install continuous pipelines of huge pools of filtered information so that data analyst/scientists can pull relevant data sets for their analyses (20%)
Develop, construct, test and maintain architectures such as databases and large-scale data processing systems (10%)
WHAT YOU'LL NEED TO BE SUCCESSFUL
BS in Computer Science or equivalent experience
3+ years of day-to-day working experience as data engineer
Experience with object-oriented and functional programming languages: Python, Scala etc.
Experience with RDBMS (MS-SQL, MYSQL etc.) and NoSQL (MongoDB, DynamoDB etc.)
Experience with Big Data query and application knowledge: Hive, Impala, Fluentd, Spark, Sqoop, Pig etc.
Experience with ETL and data integration tool : Airflow, Informatica PowerCenter
Experience with AWS cloud services: EC2, S3, EMR, Glue, RedShift, Athena etc.
Proficiency in general database administration concepts and efficient query writing
Excellent verbal and written communication skills
An eagerness to continually improve your skills, learn new technologies a willingness to take initiative beyond basic responsibilities
This is a full time, on-site position at our office in Aliso Viejo, CA. A casual, friendly work environment, a comprehensive benefits package, a competitive salary, and more are all part of what makes NCSOFT West a great place to work.",3.0,"NCSOFT
3.0","Aliso Viejo, CA",-1,1001 to 5000 Employees,1997,Company - Public,Video Games,Media,$10+ billion (USD),-1
7,Senior Data Engineer,"$90k-$157k
(Glassdoor Est.)","About Us

Kiva (kiva.org) is an international nonprofit with a mission to expand financial access to help underserved communities thrive. We run a global marketplace platform to crowdfund microloans for financially excluded entrepreneurs, farmers and students around the world. Our organization combines the culture and technological passion of an internet start-up with the compassion and empathy of a non-profit to create impact and opportunity at global scale. Since 2005, we have raised more than $1.4 billion in loan capital for 3.6 million borrowers in 95 countries. Our lenders fund over $13 million in loans every month. With offices in San Francisco, Portland, New York, Nairobi, and Bangkok, Kiva's team includes 100+ employees and 400+ volunteers worldwide. Our team is growing as we pursue exciting new opportunities to create a financially inclusive world.

About Data Science @Kiva

The Data Science team at Kiva creates impact by using data to solve problems around financial inclusion. This translates to a host of exciting and challenging technical problems spanning analytics, machine learning, data engineering, and infrastructure. The team is currently building out a new analytics stack, algorithms to power personalization on kiva.org, and is looking to scale analytics & data science for other kinds of problems. Our current ecosystem of infrastructure, tools, and skillsets include AWS, GCP, Kubernetes, Snowflake, Fivetran, Looker, DBT, Google Cloud Composer (Airflow), Snowplow, Python, Kotlin, and PHP.

About the Role

The team is looking for a strong engineer to help architect, design, build, maintain, and evolve our analytics platform. This is an opportunity to be an early influencer and a significant contributor to the direction and growth of the team. As a Senior Data Engineer, you will:
Own an analytics platform that will influence the experience of millions of lenders and borrowers around the world.
Work with internal stakeholders to identify their analytics needs, and drive the analytics engineering roadmap.
Collaborate with analysts, data scientists & engineers to write data transforms/pipelines to generate reliable insights, and build data-driven products.
Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.
Work with various parts of the organization (Analytics, Engineering, Product, Operations, etc.) to support self-service analytics.
Help foster a spirit of innovation and collaboration both within the engineering team and across the organization.
Work to create impactful and sustainable solutions to complex problems by taking bold and measured risks.
Balance your technical excellence with a high E.Q., showing up with a sense of empathy, awareness, and responsibility.
Share the knowledge you gain generously with your peers to perpetuate a culture of engineering excellence.
This role will be based in San Francisco or Portland and will report to the Director of Data Science based in San Francisco. At this time, we can only consider applicants with authorization to work in the United States on a permanent, full-time basis; unfortunately, we cannot provide visa sponsorship.

About You
You have a BS in a quantitative discipline (computer science, engineering, physics, mathematics, or a related field) or comparable work experience.
You have built data platforms to enable analytics and data-driven products using agile software development principles.
You have 5+ years of data warehousing experience (data modeling, ETL/ELT, data cleansing, systems & database administration) on a modern data warehouse (like Redshift / Snowflake / etc.).
You have experience working with modern analytics tools (like Looker / Tableau / Metabase, etc.) to design user-facing analytics.
You have strong coding (SQL & Python) and report design skills.
You have worked with various internal stakeholders to gather business requirements and translate them into technical solutions.
You can communicate findings and recommendations to technical and non-technical audiences.
You are willing to learn, take initiative, and wear multiple hats as required.
What We Offer:
An opportunity to improve real lives, solve hard problems, and change the world
Friendly, supportive, and adventurous environment with a team of engaged colleagues
A comprehensive, industry-leading benefits package
Opportunities to connect with and learn from colleagues and partners around the world
A diverse and inclusive workplace where we learn from each other is an integral part of Kiva's culture. We actively welcome people of different backgrounds, experiences, abilities and perspectives. We are an equal opportunity employer and a great place to work. Join us and help us achieve our mission!

We will only accept applications directly from candidates. Kiva will not be responsible for any recruiting agency fees, absent a formal agreement.",4.0,"Kiva.org
4.0","San Francisco, CA",-1,51 to 200 Employees,2005,Nonprofit Organization,Lending,Finance,Unknown / Non-Applicable,-1
8,Software Engineer,"$56k-$117k
(Glassdoor Est.)","Brain Corp is a San Diego-based AI company creating transformative core technology for the robotics industry. Our diverse engineering teams in Software, Hardware Design, and Embedded Systems are creating comprehensive solutions to support the builders of today's autonomous machines in successfully producing, deploying, and supporting commercial robots across industries and applications. Brain Corp is funded by the SoftBank Vision Fund and Qualcomm Ventures. For more information please visit: https://www.braincorp.com/

Position Summary:

As a member of the Software Engineering team, the Software Engineer will be working on a newly launched product and will help to solve complex problems in the material handling space. As a core member of our AI & Platform Division, you will work with our world-class team of engineers and scientists to build a platform for the next generation of intelligent machines. Your experience will be pivotal in advancing our mission: safe and reliable robots everywhere.

Duties and Responsibilities:
Deliver software features/functionality that increases customer value and product scalability.
Increase the agility/ software release frequency of the team and organization through code refactoring, simplification, and removal.
Review performance metrics of production fleet as a key indicator of customer experience from which to identify software product improvements.
Coordinate with cross-functional areas of expertise including hardware, firmware, platform, user experience, quality, and cloud engineering to deliver world-class customer value.
Remain up to date with developments across platform, navigation, and other robots, in order to leverage and contribute towards software innovation across all products.
What you need:
Bachelor's degree in computer science, software engineering, or a related field
2-4 years of experience writing C++ and python applications for Linux or embedded systems
Experience coding at an industry level with a strong background in programming constructs and idioms.
Experience designing/developing/testing/deploying/maintaining features and software releases
Experience working in large code bases of mixed Python, C++, and Python extensions
Solid understanding of design patterns, data structures, and advanced programming techniques
Experience with soft real-time and multi-threaded systems
Experience with version control systems such as git
Desire to constantly learn as well as teach others
Strong analytical skills that enable data-driven decisions and prioritization
Things that make a difference:
MS in computer science, software engineering, or a related field
Experience designing and developing robotic systems using robotics frameworks, including ROS, and existing libraries and tools
Experience with C++11 and newer
Experience with path planning, AI algorithms, navigation algorithms, or robot behavior systems a plus
Experience with continuous integration, deployment and release management tools
Experience with Agile and Scrum methodology
Proven system integration and software architecture skills
Good working knowledge of robotics and surrounding systems
Physical Demands:

The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. Essential functions may require maintaining the physical condition necessary for sitting, walking or standing for periods of time; operating a computer and keyboard; talk and hear at normal room levels; using hands to finger, grasp, and feel; repetitive motion; close visual acuity to prepare and analyze data and figures; transcribing; viewing a computer terminal; extensive reading; lift, push, carry, or pull up to 10 pounds.

Work Environment:

The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. The noise level in the work environment is usually quiet to moderate. Employee is exposed to the typical office environment with computers, printers and telephones.",3.5,"Brain Corp
3.5","San Diego, CA",-1,201 to 500 Employees,2009,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
9,Data Engineer,"$108k-$199k
(Glassdoor Est.)","Grow your career at AppLovin.

AppLovin is a global leader in mobile entertainment. Its studios create popular, immersive mobile games and its technology brings games to more players around the world. Since 2012, the company's platform has been instrumental in driving the explosive growth of mobile games, resulting in a richer ecosystem and more games played by millions of people every day. AppLovin is headquartered in Palo Alto, California with several offices globally. Learn more at applovin.com.

AppLovin is one of Inc.'s Best Workplaces and a recipient of the 2019 Glassdoor Top CEO employee's choice award. The San Francisco Business Times awarded AppLovin one of the Bay Area's Best Places to Work in 2019 and 2020, and the Workplace Wellness Award in 2019 which recognizes businesses that are leaders in improving worker well-being.

About You:
Have 1-3 years of experience and a minimum of a BS and/or MS in Computer Science
Have excellent knowledge of computer science fundamentals including data structures, algorithms, and coding
Experience independently creating and maintaining projects
Product focused mindset
Have experience working with big data systems (Spark, Hadoop, Pig, Impala, Kafka)
Experience designing, building, and maintaining data processing systems
Experience with a backend language such as Java or Scala
About the Role:
Collaborate with various engineering teams to meet a wide range of technological challenges
Work closely with product and business teams to improve data models that feed business intelligence tools
Define company data models using Spark
Perks:
Free medical, dental, and vision insurance
Daily lunches and fully stocked kitchen
Free public transit
Free laundry service (wash/dry clean)
Free gym membership
401k matching
Fun company parties and events
Autonomy to make decisions in a rapidly growing company
Flexible Time Off - work hard and take time when you need it
Interested? Send us your resume and let's talk!

AppLovin is proud to be an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.

#LI-JZ1",4.8,"AppLovin
4.8","Palo Alto, CA",-1,201 to 500 Employees,2012,Company - Private,Video Games,Media,Unknown / Non-Applicable,-1
