,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Machine Learning Engineer,"$108k-$186k
(Glassdoor Est.)","CircleUp harnesses the power of machine learning and predictive analytics to discover some of the fastest-growing companies in the consumer & retail sector. We are building a predictive data system called ""Helio"" to bring the data-driven revolution that has occurred in the public markets to the private markets, starting with consumer & retail.

We are working on challenging problems in information retrieval, entity resolution, and developing an in-depth knowledge graph of all private companies. We are mining vast amounts of data to successfully rewrite the rules on how private companies are evaluated.

With a background in both software development and machine learning, you will collaborate with software engineers, data scientists, PMs, and domain experts in consumer investing to develop & ship predictive data products in support of CircleUp's mission - helping entrepreneurs thrive by connecting them with the capital & resources they need.

You are a passionate software engineer who is comfortable working across the full stack & lifecycle of predictive data products - prototyping, feature engineering, validation, and productionalization.

CircleUp was recently honored as one of Fast Company's Top 10 Most Innovative Companies in Data Science and has been named a CB Insights FinTech 250, a Top 5 Most Disruptive Company in Finance by CNBC, and to the Forbes FinTech 50. Founded in 2012, CircleUp is headquartered in San Francisco and backed by Union Square Ventures, GV, Canaan Partners, QED Advisors, and others.

Responsibilities:
Collect and refine structured and unstructured data on private companies
Build out our entity resolution platform that can identify references to companies, brands and products in highly unstructured digital documents and link them back to real world entities
Build scalable production systems for data collection, data transformation, feature extraction, model training, and scoring, using distributed software tools
Build end to end algorithms for objectively measuring the quality of private consumer companies
Contribute to all phases of algorithm development including ideation, prototyping, design and production
We're looking for teammates who have:
Bachelor's degree or higher in Computer Science, Information retrieval, Natural Language processing, Math, Statistics or related technical field
2+ years of experience in machine learning, NLP and/or information retrieval
Broad knowledge of machine learning APIs, tools, and open source libraries
Excellent coding skills and strong fundamentals in algorithms, data structures, predictive modeling and big data concepts
Experience putting models into production systems is a huge plus
An interest in disrupting and democratizing the entire industry within the private markets.
If you got to this point, we hope you’re feeling excited about the job description you just read! Even if you feel that you don't meet all of the requirements and qualifications, we still encourage you to apply. We’re eager to speak with those who share our passion to help entrepreneurs thrive - not just those who match every bullet point in our job descriptions.

CircleUp is an equal opportunity employer. We do not discriminate based upon race, religious creed, color, national origin, ancestry, physical or mental disability, medical condition, genetic information, marital status (including registered domestic partnership status), sex and gender (including pregnancy, childbirth, lactation and related medical conditions), gender identity and gender expression (including transgender individuals who are transitioning, have transitioned, or are perceived to be transitioning to the gender with which they identify), age, sexual orientation, Civil Air Patrol status, military and veteran status and any other consideration protected by federal, state or local law. We encourage those who really want to make an impact to apply for our open positions.",4.5,"CircleUp
4.5","San Francisco, CA",-1,51 to 200 Employees,2012,Company - Private,Venture Capital & Private Equity,Finance,Unknown / Non-Applicable,-1
1,Principal Machine Learning Engineer,"$124k-$212k
(Glassdoor Est.)","Principal Machine Learning Engineer
People make Sage great. From our colleagues delivering ground-breaking solutions to the customers who use them: people have helped us grow for more than thirty years, and people are driving our future as a great SaaS company. We’re writing our next chapter. Be part of it!

Experience has taught us that when our customers thrive, we thrive. As a team, we always start with what customers need. Through the good… and more challenging times. Innovating at pace so customers can manage their finances, operations and people. Every one of us shapes our culture at Sage - doing what’s right and succeeding together, united by our commitment to each other. We encourage each other to grow in our roles, in our careers and as individuals.

Follow us on our social media sites below to join in conversations about career tips, open positions and company news! #lifeatsage #sagecareers. If you would like support with your application (or require any adjustments) please contact us at careers@sage.com for assistance. All qualified applicants will be thoughtfully considered and never discriminated against based on their race, color, age, religion, sexual orientation, gender identity, national origin, disability or veteran status.

EOE AA/M/F/Vet/Disability
Sage Software is an Equal Opportunity Employer. We comply with the laws set forth in the Equal Employment Opportunity in The Law poster: http://1sa.ge/EjaS30kzhpR
Who we are:

Sage Artificial Intelligence Labs ""SAIL"" is a nimble team within Sage building the future of cloud business management by using artificial intelligence to turbocharge our users' productivity. The SAIL team builds capabilities to help businesses make better decisions through data-powered insights.

We are currently hiring a Principal Machine Learning Engineer to help us build machine learning solutions that will provide insights to empower businesses and help them succeed. As a part of our cross-functional team including data scientists and engineers you will help steer the direction of the entire company’s Data Science and Machine Learning effort.

If you share our excitement for machine learning, value a culture of continuous improvement and learning and are excited about working with cutting edge technologies, apply today!
You will:
• Design and implement services that use machine learning to augment and simplify our customers' workflows
• Develop our internal toolset to support our machine learning systems and our own efficiency
• Monitor and optimize the quality and performance of our models, services, and tools
• Collaborate with our AI Infrastructure team to extend the capabilities of our machine learning platform

You have:
• Keen interest in machine learning and 5+ years of practical experience with it
• Expert knowledge and experience with several relevant programming languages (incl. Python), frameworks (incl. Pandas, NumPy, Flask, Spark) and databases (incl. DynamoDB, Postgres)
• Extensive experience with cloud environments (we use AWS)
• Ability to write highly performant code taking care of large volumes of data
• Excellent written and verbal communication skills, and ability to evaluate and explain technical details clearly
• Willingness to adapt to significant changes in either technology or environment

What's it like to work here
You will have an opportunity to work in an environment where engineering is central to what we do. The products we build are breaking new ground, and we have a focus on providing the best environment to allow you to do what you do best - solve problems, collaborate with your team and push first class software. Our distributed team is spread across multiple continents, we promote an open diverse environment, encourage contributions to open-source software and invest heavily in our staff. Our team is talented, capable, and inclusive. We know that great things can only be done with great teams and look forward to continuing this direction.

Do you love where you work? WE do!

Who is Sage? https://www.sage.com/en-us/company/careers/who-we-are/
How we make a difference: https://www.sage.com/en-us/company/sage-foundation/
Champion of Business Builders: https://www.sage.com/en-us/products/
Life at Sage: https://www.sage.com/en-us/company/careers/life-at-sage/

Our comprehensive total rewards program included:
• Extended health, dental and vision coverage
• On-going training and professional development
• 21 days paid time off from the start
• Paid 5 days to volunteer through our Sage Foundation
• Matching Retirement contributions
• And, so much more…
Product
United States
San Jose;San Francisco",4.2,"Sage
4.2","San Jose, CA",-1,10000+ Employees,1981,Company - Public,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),-1
2,Perception Engineer,"$109k-$144k
(Glassdoor Est.)","Kodiak Robotics is not just a software company, we are developing autonomous technology for long-haul trucking. Our team is highly experienced and comes from the leading technology companies in the space.

We are looking for a highly skilled perception engineer to join us and solve real-world robotics problems.
In this role, you will:
Be responsible for designing perception algorithms and implementing them in robust, efficient, and well-tested C++ code.
Solve real-world perception challenges such as lane detection, object detection and classification, tracking, sensor fusion, localization, mapping, or sensor calibration.
Integrate both novel and well-established techniques such as deep neural networks, decision trees, Kalman and particle filters, or point cloud processing on camera, laser, radar, and ultrasound data.
Collaborate closely with other experts on the team, including the planning and systems engineering team.
Qualifications:
Strong technical background. BS, MS or PhD with 2+ years of academic or industry experience in designing and implementing perception algorithms. You are a skilled software engineer with experience in C++ and strong problem-solving skills. You are passionate about solving real-world robotics problems, and you have ideally worked on autonomous robots before. Prior knowledge of working with deep neural networks is a strong plus.
A team player. You take ownership and work with the team to deliver exceptional results. You are interested in the performance of the entire system across engineering disciplines.
Ability to build and iterate quickly. You enjoy working fast and smart, and you are comfortable in the earlier stages of developing an algorithm from scratch.
Hands on. You dig deep into important details such as the sensor driver if it improves the overall system. You like working with production machine learning pipelines, from dataset collection and labeling to training and validation.
Great communicator. You have experience writing clear, concise, and detailed documentation.
Benefits:
A place with big goals that we trust we can achieve.
A fast paced environment where we work with talented, committed and supportive teammates.
Equity and competitive pay. Every employee is a stakeholder in Kodiak’s success.
Excellent medical, dental and vision benefits.
Flexible PTO and generous parental leave policies.
A beautiful facility in Mountain View.
We love our dogs, so we are a dog friendly office!
At Kodiak, we strive to build a diverse community working towards our common company goals in a safe and collaborative environment where harassment of any kind is strictly prohibited. Kodiak is committed to equal opportunity employment regardless of race, ethnicity, religion, gender identity, sexual orientation, age, disability, or veteran status, or any other basis protected by applicable law.",4.5,"Kodiak Robotics
4.5","Mountain View, CA",-1,51 to 200 Employees,2018,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
3,Sr. DATA SCIENTIST,"$155k-$247k
(Glassdoor Est.)","Title: Sr. Data Scientist

Company: Samsung Research America (SRA)

Lab: Visual Display Intelligence Lab

Location: Mountain View, CA

Lab Summary:

At Visual Display Intelligence lab, Samsung Research America, we operate as a start-up while leveraging the broader assets of a larger global enterprise. We do advance research and development to immensely benefit our core business verticals in the space of Ads and Marketing. Our team primarily focuses on processing huge data sets, build robust and scalable big data pipelines, conduct advanced research in implementing state-of-the-art ML and AI techniques, build data services that are both real-time and batch based. All those combined provide the best-in-class experience to our customers across consumer electronics and internet of things. Many of our engineers take pride in publications, filing A-grade patents and build robust products and services.

Position Summary:

As a Staff Software Engineer you will primarily focus on building unified Audience platform by working directly with Product Managers, Lab leaders, researchers, Big data/AI/ML engineers, brainstorm different ideas and also build POCs and propose projects that cater to the broader business needs. If there is evinced interest to invest on those projects, you could lead them to fruition. You will help design data pipelines, maintain large scale distributed systems, help manage the modern data warehousing infrastructure, analyze key metrics for decision makers to provide visual insights that will change the company direction and benefit consumers. The ideal candidate will be someone who comes from a strong analytical background that has demonstrated experience in the following areas:

Responsibilities:
Build and maintain large scale distributed systems to support the whole pipeline from data collection and training to deployment and real-time serving
Write efficient implementations of ML algorithms over CPUs & GPUs
Integrate our in-house systems with open source technologies like Kubernetes and Tensorflow
Build abstractions to automate various steps in different ML workflows
Build tools to debug, visualize and inspect various features and models
Work with the engineers who use the platform, and help them be more impactful by improving the platform
Minimum Qualifications:
Strong knowledge of Computer Science fundamentals including object-oriented design, data structures, operating system, computer networks.
(5+ years) Software development experience, ideally in Python, Scala or Java
(5+ years) Experience with MySQL, Postgres, Cassandra, Redis, Redshift, OracleDB or MongoDB
(3+ years) Microservice-oriented architectures and related OSS technologies (e.g. Kubernetes, Kafka, Celery/RabbitMQ, nginx, Redis, Airflow, etc)
(3+ years) Experience working in distributed and streaming environment, preferably using Spark, Kafka, Flink etc
(3+ years) Experience with AWS in an enterprise environment
(3+ years) CI/CD and test automation frameworks (Cypress.io, Jenkins, Appium, UIAutomation, Bazel, etc)
Preferred Qualifications:
BS, MS or PhD in Computer Science, Engineering or a related technical field
Strong communication and inter-personal skills
Experience with leading large-scale multi-engineer projects
Samsung is an EEO/Veterans/Disabled/LGBT employer. We welcome and encourage diversity as we strive to create an inclusive workplace.",3.7,"Samsung Research America
3.7","Mountain View, CA",-1,1001 to 5000 Employees,1988,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),-1
4,Modem Systems Engineer,"$78k-$120k
(Glassdoor Est.)","Company:
Qualcomm Technologies, Inc.
Job Area:
Engineering Group, Engineering Group > Systems Engineering
Job Overview:


Qualcomm is a company of inventors that unlocked 5G ushering in an age of rapid acceleration in connectivity and new possibilities that will transform industries, create jobs, and enrich lives. But this is just the beginning. It takes inventive minds with diverse skills, backgrounds, and cultures to transform 5Gs potential into world-changing technologies and products. This is the Invention Age - and this is where you come in.

Over the last few decades the Modem systems group at Qualcomm has been instrumental in driving the mobile communication revolution which has touched every aspects of our modern life. From the early days of CDMA to 3G UMTS to 4G LTE , LTE Advanced and now onto 5G NR, Qualcomm modem systems group has been a key player in moving these technologies from concept to lab to actual mass scale real life deployments. You now have an opportunity of joining this team which drove the 4G LTE based smartphone revolution and is now best positioned to expand into new areas such as 5G NR, IoT, Vehicular communication(V2X). You can work in areas as diverse as 3GPP standardization efforts (in RAN2 and RAN4), high level architecture studies, modem algorithm design and development, Machine Learning and its application to WWAN Radio design, power efficient design, verification and commercialization. Get in on the ground floor of these new emerging technologies and help shape the future.

Minimum Requirements:
Masters degree in Engineering, Information Systems, Computer Science, or related field.
Preferred Qualifications:
PhD in Electrical & Computer Engineering.
Academic project experience or 1+ year industry experience in at least one or more of the following areas:
Communication theory, applied mathematics, RF interfaces and digital mitigation of RF distortion, low power design, signal processing, information theory, channel coding, probability and random processes, machine learning or Bayesian inference, or upper layer protocol design experience including 3GPP IMS, NAS, MAC/RLC/PDCP and RRC, IP, UDP, TCP, HTTP, routing etc.
Ability to program effectively in C/C++, Python and/or Matlab.
Experience with key machine learning tools/libraries (TensorFLow, PyTorch, Keras etc), neural networks architectures and building models
Experience with wireless standards (i.e. LTE/WiFi/5G/UMTS).
Modem architecture, software engineering and simulation design, microprocessor architecture, embedded software, data network protocols knowledge.
up to 4 year's Systems Engineering or related work experience.
up to 2 years' experience working in a large matrixed organization.
Strong analytical and problem-solving skills.
Passion for learning and intellectual curiosity.
Applicants: If you are an individual with a disability and need an accommodation during the application/hiring process, please call Qualcomm’s toll-free number found here for assistance. Qualcomm will provide reasonable accommodations, upon request, to support individuals with disabilities to be able participate in the hiring process. Qualcomm is also committed to making our workplace accessible for individuals with disabilities. Qualcomm is an equal opportunity employer and supports workforce diversity.

To all Staffing and Recruiting Agencies: Our Careers Site is only for individuals seeking a job at Qualcomm. Staffing and recruiting agencies and individuals being represented by an agency are not authorized to use this site or to submit profiles, applications or resumes, and any such submissions will be considered unsolicited. Qualcomm does not accept unsolicited resumes or applications from agencies. Please do not forward resumes to our jobs alias, Qualcomm employees or any other company location. Qualcomm is not responsible for any fees related to unsolicited resumes/applications.

EEO Employer: Qualcomm is an equal opportunity employer; all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, Veteran status, or any other protected classification.",4.0,"Qualcomm Incorporated
4.0","San Diego, CA",-1,10000+ Employees,1985,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),-1
5,"Machine Learning Engineer, 1+ Years Experience","$124k-$211k
(Glassdoor Est.)","Snap Inc. is a camera company. We believe that reinventing the camera represents our greatest opportunity to improve the way people live and communicate. Our products empower people to express themselves, live in the moment, learn about the world, and have fun together.

We’re looking for a Machine Learning Engineer to join Snap Inc! Working from our Mountain View, CA office, you will be tasked with solving interesting technical challenges such as architecting and deploying infrastructure to handle our scale, designing a slick and secure mobile client, and maintaining software used by millions every day.

What you’ll do:
Create models which help drive value for users, advertisers, and our company
Evaluate the technical tradeoffs of every decision
Perform code reviews and ensure exceptional code quality
Build robust, lasting, and scalable products
Iterate quickly without compromising quality
Knowledge, Skills & Abilities:
Strong understanding of machine learning approaches and algorithms
Ability to prioritize tasks and work independently
Excellent verbal and written communication skills, with high attention to detail
Experience collaborating with internal and external stakeholders at all levels of a company
Experience in solving open ambiguous problems from end to end
Possesses a desire to learn and help others
Minimum Qualifications:
BS/BA degree in technical field such as Computer Science, Mathematics, Statistics or equivalent years of experience
1+ years ML industry experience or PhD in related field
Preferred Qualifications:
Experience working with machine learning frameworks such as TensorFlow, Caffe2, PyTorch, Spark ML, scikit-learn, or related frameworks
Experience with mobile apps and/or databases
Experience working with distributed systems
M.S. degree and/or PhD in computer science or related field
Experience working with machine learning, ranking infrastructures, and system designs
Ability to proactively learn new concepts and apply them at work
At Snap, we believe that having a team of diverse backgrounds and voices working together will enable us to create innovative products that improve the way people live and communicate. Snap is proud to be an equal opportunity employer, and committed to providing employment opportunities regardless of race, religious creed, color, national origin, ancestry, physical disability, mental disability, medical condition, genetic information, marital status, sex, gender, gender identity, gender expression, pregnancy, childbirth and breastfeeding, age, sexual orientation, military or veteran status, or any other protected classification, in accordance with applicable federal, state, and local laws. EOE, including disability/vets. If you have a disability or special need that requires accommodation, please don’t be shy and contact us at accommodations-ext@snap.com.",3.9,"Snap
3.9","Mountain View, CA",-1,1001 to 5000 Employees,2011,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
6,Senior Machine Learning Engineer,-1,"Introduction to Shield
Shield AI’s mission is to protect service members and civilians with artificially intelligent systems. For our team, no idea is too ambitious. We don’t ever want to stop working to make possible what looks out of reach today. We have assembled a world-class team dedicated to shaping the future of artificially intelligent systems. We are backed by top tier venture capital investors, have been shipping product since 2018 and are rapidly expanding.

Job Description
Are you a passionate and innovative software engineer looking to help develop state of the art AI products? Are you eager to make a positive difference in the world? Do you want to work alongside mission driven and values focused teammates? Shield AI is just the place for you!
As a Machine Learning Engineer, you will work on exciting applications of machine learning for robotic systems. You will work alongside a team of passionate and driven engineers to solve a wide variety of challenging problems to include object detection, scene understanding, face verification, and action recognition. You will conduct literature reviews to drive team decisions and develop a framework for training, validation, and evaluation. Your contributions will help provide the situational awareness that is essential to the safety of our users!
Join us to push the state of the art in autonomous robotics for protecting lives.
What you'll do
Develop algorithms for the accurate detection, classification, and localization of high-value objects for tracking and analysis
Develop algorithms for scene understanding; build scene graphs, recognize obstacles for navigation, and estimate threat or intent
Contribute to our machine learning foundation tools for curating data and developing/analyzing models
Inform sensor decisions for optimal approaches to machine learning for product requirements
Develop state-of-the-art approaches in the areas described above, as applied to our unique problems
Projects you might work on
Improving the tooling and pipelines that allow us to develop models at scale
Developing and optimizing models for multiple tasks of interest
Extending models to optimize execution and pull in more functionality such as tracking or motion prediction
Developing robust APIs for easy interfacing with internal and external software components
People we're looking for have the following required education and experience
5+ years of professional work experience as a machine learning and/or software engineer
MS in Computer Science or Engineering, similar degree, or equivalent practical experience
Experience with contributing to large and complex software projects
Practical experience with machine learning frameworks such as PyTorch and TensorFlow
Competencies
Deep learning model development
Software Engineering
C++
Python
TensorFlow
Caffe/Caffe2
PyTorch
scikit-learn
OpenCV
Multi-threaded development
Excellent communication skills
Preferred qualifications
Experience producing, deploying, and improving production models
Experience with ROS
Experience with CUDA
Passion for solving problems that make a difference
If you're interested in being part of our team, apply now!

Shield AI is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, marital status, disability, gender identity or Veteran status. If you have a disability or special need that requires accommodation, please let us know.

To conform to U.S. Government regulations, applicant must be a U.S. citizen, lawful permanent resident of the U.S., protected individual as defined by 8 U.S.C. 1324b(a)(3), or eligible to obtain the required authorizations from the U.S. Department of State.",4.8,"Shield AI
4.8","San Diego, CA",-1,51 to 200 Employees,2015,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
7,Senior Computer Vision Engineer,"$175k-$190k
(Employer Est.)","Who we are:


Grabango is the leading provider of checkout-free shopper technology for existing stores. Founded by Will Glaser (technology founder of Pandora Media), the Grabango team has developed the only enterprise class solution for large store chains in the market today. Grabango's system accommodates thousands of store locations, hundreds of thousands of SKUs and millions of square feet across a given retail enterprise.

We're a growing group of kind, curious, self-directed people working towards a common goal. We delight in taking risks and testing hypotheses in a collaborative and supportive environment. Our ability to celebrate both our successes and failures as milestones of growth opens the door to tremendous breakthroughs.

Computer vision and machine learning are at the core of our patent pending technology. Our accomplished team is a powerful combination of technology and commerce professionals that are working to ""Eliminate lines and save people time!""

Overview:
Grabango is looking for talented Computer Vision Engineers who are passionate about pushing the boundaries of Computer Vision, Artificial Intelligence, and Deep Learning, and enjoy collaborating closely with cross-functional teams to make sure all of the technologies integrate seamlessly to create an impactful product that our customers love.

What you'll be doing:


Improve Grabango's acquisition system by focusing on: Camera placement, optics validation, calibration
Collaborate closely with the hardware and optics team
Use computer vision to gather vital data
Turn research papers into implementations, separating the wheat from the chaff
Contribute to the production code

What you should have:


3 - 5+ years of professional experience in the computer vision field
2+ years of production-level development experience with Python and/or C++
Experience with traditional computer vision fields combined with a good mathematical background: epipolar geometry, projective geometry, linear algebra
Relevant experience with camera calibration and/or camera evaluation
Ability to use computer vision to gather necessary data, avoid obstacles, etc.
Experience with OpenCV
Big Plus for experience with deep learning frameworks

Education & Certifications:


PhD in computer vision

Grabango Values:
Integrity: Do the right thing, particularly when you don't have to.

Bold Innovation: Think recklessly, but temper your actions with pragmatism.

People Matter: Hire the best, and treasure them.

Don't Live with Broken: Have the courage to admit mistakes, and the urgency to correct them.

Customer Focus: Deliver beyond expectations, both internally and externally.

Inclusion: Foster an environment that welcomes all.

Simplify: Everything should be made as simple as possible, but not simpler.

Grabango is proud to be an equal opportunity employer and is committed to developing a workplace where diversity and inclusion are an essential part of who we are. We strive to hire and support a workforce as diverse as our shopper base, so we can develop products and services that best suit our customers. We do not make employment decisions based on race, color, religion, ethnic or national origin, nationality, sex, gender, gender-identity, sexual orientation, disability, age, military or veteran status and we comply with all local, state and federal employment laws.

Grabango participates in the E-Verify Program, an internet-based system operated by the Department of Homeland Security and the Social Security Administration. It allows employers to confirm an individual's employment eligibility to work in the United States.",4.1,"Grabango
4.1","Berkeley, CA",-1,1 to 50 Employees,2016,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
8,"Scientist/Machine Learning Engineer, Applied Science","$83k-$139k
(Glassdoor Est.)","The Scientist/Senior Scientist/Lead Scientist - (Machine Learning Engineers) will work with the rest of the team to research, invent, and implement the next generation prediction, optimization, and analytics technology. You are a brilliant, motivated self-starter and an extremely fast learner with top notch problem solving, and analytical skills. You have a deep sense of curiosity and innate desire to dig deep into terabytes of data and love to play with the innards of complex algorithms, mathematical constructs and code.

Responsibilities
Research, design and/or implement solutions to challenging problems in real-time bidding domain, such as all kinds of optimization problems, audience understanding, etc.
Research and improve features and machine learning models for production pipeline.
Provide insights and suggestions on customer campaign optimization problems and product/platform optimization problems through statistical data analysis when needed.
Drive innovation by identifying and formulating new problems, publishing papers, filing patents, etc.
Required Qualifications
PhD degree in a closely related field (e.g.: computer science/engineering, optimization) with publications in the area is strongly preferred
Or Masters with significant experience in advertising and Machine Learning
Experience in one or more of the following areas: machine learning, data mining, statistical modeling, optimization, algorithms, big-data, game theory
Proficiency with one or more programming languages - ability to write/debug production code.
Excellent communication skills – ability to present and communicate complex ideas in simple terms
Strong statistical/math/analytical abilities; Exceptional problem solving skills
Desired Qualifications
Previous experience in the advertising industry
Strong programming experience with Java, C/C++, Python and/or Scala
Excellent knowledge in algorithms and data structures
#LI-KM1

About Amobee
The world’s leading independent advertising platform, Amobee unifies all advertising channels—including TV, programmatic and social—across all formats and devices. We provide marketers with streamlined, advanced media planning capabilities powered by in-depth analytics and proprietary audience data. Our platform and technology, provides the most advanced advertising solutions for the convergence of digital and advanced TV— including linear TV, over the top, connected TV, and premium digital video. Enabling advertisers to plan and activate across more than 150 integrated partners, including Facebook, Instagram, Pinterest, Snapchat and Twitter.

Amobee has been named to Fortune’s Top 10 Best Workplaces in Advertising and Marketing. Amobee’s platforms have been widely recognized amongst our industry winning numerous awards in technology innovation, see all Amobee Awards. We are a wholly owned subsidiary of Singtel, one of the largest telco companies in the world, reaching over 700 million mobile subscribers in 21 countries. Amobee operates across North America, Europe, Middle East, Asia and Australia. For more information, visit amobee.com or follow @amobee

In addition to our great environment, we offer a competitive base salary, employee development programs and other comprehensive benefits. Please send a cover letter along with your resume when applying to the position of interest located at Amobee.com. We are an Equal Opportunity Employer. No phone calls and no recruiting agencies, please.",3.7,"Amobee
3.7","Redwood City, CA",-1,501 to 1000 Employees,2005,Company - Private,Advertising & Marketing,Business Services,$500 million to $1 billion (USD),-1
9,"Associate Automation Engineer, Innovation Division","$48k-$75k
(Glassdoor Est.)","Headquartered in Modesto, CA, G3 Enterprises has been supplying the wine and spirits industry for over 50 years. As a single source packaging solution, its products and services include labels, stock and custom closures, warehousing, transportation, bottle etching, and mobile bottling.

The Associate Innovation Engineer assists in developing research strategies and executes automation and engineering projects and experiments. The focus of this position is to use technical expertise to recommend digital transformation projects that provide customers with critical insights allowing them to make informed decisions. Responsible for designing and conducting experiments that generate the knowledge required to commercialize the projects and supporting the commercial launch of completed research projects. Responsible for completing projects and experiments, including the delegation of work to cross functional team members, as necessary. Further, responsible for participating in and supporting the innovation team’s strategic planning process. This technical-track position provides advancement opportunity along the technical or management ladder.

Essential Functions
Seeks and acts on opportunities to develop and apply scientific and engineering solutions to improve commercial processes by reducing costs, waste, and improving product/service quality.
Participates in decision making regarding research/innovation priorities of the company and provides feedback to team regarding project feasibility.
Creates project plans, designs experiments and leads experiments to completion.
Provides support for the launch of new products and services with G3 Operations, Marketing, Sales, Supplier Development, and other functional groups along with partner companies, as necessary.
Recommends and plans research schedule in collaboration with senior staff to meet company’s timetable.
Establishes routines necessary to meet project timetable.
Performs work on projects with both short to long term foci.
Conducts testing that includes extensive planning, personal oversight, and detailed documentation.
Identifies and implements collaborative opportunities that result in mutual benefits.
Works with both internal and external stake holders to facilitate goals, communicate status, and align on expectations.
Maintains awareness of cutting-edge developments in chemical compositions/reactions, package formats, packaging techniques and digital technologies.
Maintains integrity of G3 intellectual property and trade secrets.
Identifies and recommends opportunities to strengthen G3 Enterprises’ chemistry, engineering, processing, data generation, data collection and advanced predictive modeling skills.
Prepares reports and presentations, effectively and professionally communicates findings to a broad audience including senior management, scientists and non-scientists
Maintains satisfactory attendance, to include timeliness.
Responsible for understanding and complying with applicable quality, environmental and safety regulatory considerations. If accountable for the work of others, responsible for ensuring their understanding and compliance.
Minimum Qualifications
High school diploma or State-issued equivalency certificate.
Bachelor’s degree in Automation and Systems Integration Engineering, Computer Science, Computer Engineering, Electrical Engineering, Food Process Engineering, Biochemical Engineering, or Chemical Engineering
Computer skill requirements include MS Word, Excel, Access and PowerPoint or equivalent programs.
Required to lift and move up to 50 pounds.
Preferred Qualifications
Master of science degree.
4 years of experience in a commercial or manufacturing environment reflecting increasing levels of responsibility; Other technical disciplines may be considered depending on prior digital transformation experience.
Experience with reading and interpreting complex scientific and engineering documents.
Experience in wireless communication, sensors, automation, advanced process modeling, data mining, and simulation is highly desirable.
Experience in dealing with a variety of abstract and concrete concepts leading to a working knowledge of products, systems, and services.
Experience with cyber-physical systems, cloud and edge computing, big data, or AI and machine learning.
Experience working independently, leading technical projects, and interfacing with internal and external technical teams.
Experience with reading and interpreting complex scientific and engineering documents.
Physical Demands
The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
While performing the duties of this job, the employee is regularly required to talk or hear. The employee frequently is required to stand, walk, sit and taste or smell. The employee is occasionally required to use hands to finger, handle, or feel, reach with hands and arms, climb or balance, and stoop, kneel, crouch or crawl.

Work Environment
The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
While performing the duties of this job, the employees are occasionally exposed to moving mechanical parts, high, precarious places, fumes or airborne particles, toxic or caustic chemicals and outside weather conditions. The noise level in the work environment is usually moderate.

EEO/AA M/F/Vet/Disability",3.8,"G3 Enterprises
3.8","Modesto, CA",-1,501 to 1000 Employees,-1,Company - Private,Miscellaneous Manufacturing,Manufacturing,$500 million to $1 billion (USD),-1
