,title,address,price,lat,long,Elementary schools,Car friendly,Quiet,Greenery,Parks,Grocery stores,Cycling friendly,Daycares,Pedestrian friendly,Shopping,Transit friendly,Restaurants,High schools,Historic,Vibrancy,Nightlife,Coffee Shops,rooms,bedrooms,bathroom,Condominium type,Net area,Year built,Parking (total),walk_score,Population 2016 ,Population variation between 2011 2016 ,Population density ,Unemployment rate 2016 ,"Less than $50,000 (%)","Between $50,000 and $80,000 (%)","Between $80,000 and $100,000 (%)","Between $100,000 and $150,000 (%)","More than $150,000 (%)",1-person households (%),2-person households (%),3-person households (%),4-person households (%),5-person or more households (%),Couples without children at home (%),Couples with children at home (%),Single-parent families (%),Owners (%),Renters (%),Before 1960 (%),Between 1961 and 1980 (%),Between 1981 and 1990 (%),Between 1991 and 2000 (%),Between 2001 and 2010 (%),Between 2011 and 2016 (%),Single-family homes (%),Semi-detached or row houses (%),Buildings with less than 5 floors (%),Buildings with 5 or more floors (%),Mobile homes (%),University (%),College (%),Secondary (high) school (%),Apprentice or trade school diploma (%),No diploma (%),Non-immigrant population (%),Immigrant population (%),French (%),English (%),Others languages (%),url,bathrooms,Pool,Additional features,in basement,powder room,Building style,Lot area,bedroom in basement,bedroom,Fireplace/Stove,Gross area,Parking (excluded from the price),bedrooms in basement,powder rooms,room,< 15 years (%),15 to 24 years (%),25 to 44 years (%),45 to 64 years (%),> 65 years (%),Unnamed: 0
0,Condo for sale,"14522, Rue Bernard-Geoffrion, apt. 102, Montréal (Rivière-des-Prairies/Pointe-aux-Trembles), Neighbourhood Pointe-aux-Trembles","$289,900",45.6759450000,-73.4957630000,10,10,8,8,8,6,6,5,4,4,3,3,1,1,1,1,1,7,2,1,Divided,971 sqft,2014,Garage (1),15,106743,0,2515,7,38.0,25.0,12.0,17.0,8.0,28.0,32.0,17.0,15.0,8.0,34.0,43.0,23.0,64.0,36.0,13.0,28.0,31.0,14.0,11.0,3.0,26.0,24.0,47.0,3.0,0.0,16.0,17.0,25.0,18.0,24.0,76.0,24.0,71.0,16.0,13.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,,,,,,,,,,,,,,,,,,,,,
1,Condo for sale,"5150, Rue Buchan, apt. 3608, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Côte-des-Neiges","$438,000",45.4976077300,-73.6521243700,7,8,6,3,8,10,3,6,9,9,9,8,7,0,4,4,5,5,2,,Divided,794 sqft,2013,Garage (1),65,166011,1,7718,11,54.0,21.0,8.0,9.0,9.0,40.0,29.0,15.0,11.0,6.0,33.0,45.0,22.0,27.0,73.0,51.0,30.0,8.0,5.0,4.0,3.0,3.0,6.0,69.0,22.0,0.0,47.0,16.0,19.0,6.0,12.0,50.0,50.0,33.0,39.0,28.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,2,"Inground, Indoor","Adapted for reduced mobility, Elevator",,,,,,,,,,,,,,,,,,
2,Condo for sale,"3940, Chemin de la Côte-des-Neiges, apt. D-32, Montréal (Ville-Marie), Neighbourhood Central West","$1,190,000",45.4950926200,-73.5945720300,10,8,3,9,10,9,8,6,9,10,9,10,10,5,7,8,9,10,4,,Undivided,"2,617 sqft","1929, Historic",Garage (1),49,87168,6,6414,10,58.0,18.0,7.0,8.0,9.0,55.0,31.0,9.0,4.0,2.0,57.0,26.0,17.0,27.0,73.0,33.0,28.0,11.0,8.0,13.0,8.0,1.0,2.0,48.0,49.0,0.0,52.0,15.0,18.0,6.0,9.0,63.0,37.0,54.0,26.0,20.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,3,,Elevator,,,,,,,,,,,,,,,,,,
3,Condominium house for sale,"5420, Rue Gabriele-Frascadore, Montréal (Mercier/Hochelaga-Maisonneuve), Neighbourhood Mercier","$350,000",45.6126920900,-73.5349646300,7,8,10,3,7,7,4,8,5,6,5,5,3,0,3,3,4,7,4,1,Divided,,2012,,41,136024,3,5347,9,52.0,24.0,9.0,11.0,5.0,45.0,32.0,12.0,8.0,4.0,42.0,35.0,23.0,34.0,66.0,43.0,31.0,10.0,5.0,7.0,4.0,5.0,5.0,86.0,4.0,0.0,29.0,17.0,21.0,14.0,20.0,79.0,21.0,85.0,5.0,10.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,,,Basement 6 feet or +,(1,1,Attached,"1,166 sqft",,,,,,,,,,,,,,
4,Loft / Studio for sale,"170, Rue Rioux, apt. 807, Montréal (Le Sud-Ouest), Neighbourhood Griffintown","$229,000",45.4915130000,-73.5606760000,7,5,6,7,10,10,10,8,10,10,9,10,4,6,9,9,10,3,,1,Divided,281 sqft,2020,,80,80153,9,5070,8,50.0,22.0,9.0,11.0,7.0,46.0,32.0,11.0,7.0,4.0,44.0,32.0,24.0,35.0,65.0,43.0,18.0,11.0,5.0,10.0,13.0,2.0,7.0,71.0,20.0,0.0,38.0,16.0,19.0,9.0,18.0,74.0,26.0,59.0,26.0,15.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,,,Elevator,,,,,1,,,,,,,,,,,,,
5,Condo for sale,"198, Rue Ann, apt. 1007, Montréal (Le Sud-Ouest), Neighbourhood Griffintown","$525,000",45.4949800000,-73.5580920000,9,5,0,4,10,10,10,10,9,10,10,10,3,6,9,9,10,5,2,1,Divided,578 sqft,2018,Garage (1),83,80153,9,5070,8,50.0,22.0,9.0,11.0,7.0,46.0,32.0,11.0,7.0,4.0,44.0,32.0,24.0,35.0,65.0,43.0,18.0,11.0,5.0,10.0,13.0,2.0,7.0,71.0,20.0,0.0,38.0,16.0,19.0,9.0,18.0,74.0,26.0,59.0,26.0,15.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,,"Heated, Indoor",Elevator,,,,,,,,,,,,,,,,,,
6,Condo for sale,"7200, Avenue M.-B.-Jodoin, apt. 705, Montréal (Anjou)","$212,000",45.6062650000,-73.5832210000,5,8,6,4,8,9,5,4,7,7,7,6,4,0,3,2,4,6,,1,Divided,588 sqft,1987,Garage (1),51,42796,2,3103,10,45.0,26.0,10.0,12.0,7.0,38.0,31.0,13.0,12.0,7.0,38.0,41.0,21.0,44.0,56.0,15.0,49.0,16.0,10.0,10.0,1.0,8.0,9.0,65.0,18.0,0.0,25.0,17.0,23.0,14.0,20.0,66.0,34.0,76.0,8.0,16.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,,,"Adapted for reduced mobility, Elevator",,,,,,1,"Fireplace - Other, Wood fireplace",,,,,,,,,,,
7,Condo for sale,"9950, Place de l'Acadie, apt. 376, Montréal (Ahuntsic-Cartierville), Neighbourhood Nouveau Bordeaux","$289,000",45.5335258900,-73.6800912200,9,7,2,3,10,9,3,10,8,8,9,6,7,0,4,2,6,5,,1,Divided,551 sqft,2019,Garage (1),49,134245,6,5545,10,49.0,23.0,9.0,11.0,9.0,41.0,27.0,13.0,12.0,7.0,34.0,46.0,20.0,39.0,61.0,37.0,33.0,14.0,6.0,6.0,4.0,9.0,5.0,73.0,13.0,0.0,36.0,16.0,20.0,10.0,17.0,59.0,41.0,65.0,10.0,25.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,,,Elevator,,,,,,1,,,,,,,,,,,,
8,Condo for sale,"2103, Rue du Borée, Montréal (Saint-Laurent), Neighbourhood New Saint-Laurent/Bois-Franc","$649,000",45.5167410000,-73.7116280000,3,8,10,2,7,6,5,2,5,6,5,5,3,0,2,2,4,9,3,,Divided,,2016,Garage (1),36,98828,5,2299,10,42.0,24.0,10.0,13.0,12.0,28.0,27.0,17.0,17.0,11.0,29.0,53.0,18.0,49.0,51.0,27.0,31.0,12.0,9.0,16.0,6.0,11.0,15.0,45.0,30.0,0.0,39.0,16.0,21.0,7.0,17.0,45.0,55.0,37.0,25.0,38.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,2,,,(2,,,,,,,"1,446 sqft",,,,,,,,,,
9,Condo for sale,"4330, Rue Joliette, Montréal (Rosemont/La Petite-Patrie), Neighbourhood Shop Angus","$364,000",45.5507312600,-73.5624544600,8,6,9,7,10,9,8,6,10,8,9,9,3,3,7,6,6,7,2,1,Divided,912 sqft,1989,Garage (1),69,139590,4,8741,8,52.0,22.0,9.0,11.0,7.0,49.0,29.0,11.0,8.0,3.0,43.0,36.0,21.0,30.0,70.0,52.0,24.0,9.0,5.0,5.0,4.0,2.0,3.0,89.0,6.0,0.0,41.0,17.0,17.0,10.0,15.0,77.0,23.0,83.0,6.0,11.0,https://www.centris.ca/en/properties~for-sale?view=Thumbnail,,,,,,,,,,,,,,,,,,,,,
