,address,lat,long,price,total_area,restaurants,vibrant,cycling_friendly,historic,parks,groceries,pedestrian_friendly,transit_friendly,greenery,year_built,unemployment_rate_2016_,bathrooms,powder_rooms,river_proximity,has_pool,has_garage
0,"5050, Rue Bannantyne, apt. 203, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Verdun",45.456079,-73.575949,409000,1014.0,7.0,5.0,9.0,5.0,10,9.0,10.0,8.0,5.0,2008.0,8,1.0,0.0,False,False,True
1,"201, Chemin de la Pointe-Sud, apt. 216, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Île-des-Soeurs",45.449347,-73.553327,680000,1249.0,3.0,1.0,7.0,0.0,8,2.0,3.0,4.0,5.0,2006.0,8,2.0,0.0,False,True,True
2,"8800, Rue Verville, apt. 101, Montréal (Ahuntsic-Cartierville), Neighbourhood Ahuntsic West",45.53658924,-73.64658957,283000,848.0,8.0,5.0,3.0,2.0,8,10.0,8.0,9.0,4.0,2007.0,10,1.0,0.0,False,False,True
3,"185, Rue du Séminaire, apt. 605, Montréal (Le Sud-Ouest), Neighbourhood Griffintown",45.490915,-73.560779,339000,621.0,10.0,9.0,9.0,6.0,10,10.0,10.0,9.0,5.0,2013.0,8,1.0,0.0,False,True,False
4,"7075, Rue Bombardier, apt. 108, Montréal (Anjou)",45.606186,-73.588353,177800,586.0,6.0,3.0,4.0,0.0,8,9.0,7.0,7.0,5.0,1993.0,10,1.0,0.0,False,False,False
5,"1000, Rue Ottawa, apt. 823, Montréal (Le Sud-Ouest), Neighbourhood Griffintown",45.494718,-73.558671,365000,464.0,10.0,9.0,10.0,6.0,10,10.0,10.0,10.0,3.0,2014.0,8,1.0,0.0,False,True,True
6,"7905, Rue Saint-Hubert, apt. 301, Montréal (Villeray/Saint-Michel/Parc-Extension), Neighbourhood Villeray",45.54565671,-73.62419113,389000,729.0,10.0,8.0,9.0,5.0,10,10.0,10.0,9.0,5.0,2010.0,11,1.0,0.0,False,False,False
7,"266, Rue Argyle, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Verdun",45.45288237,-73.56885866,429000,1442.0,7.0,5.0,9.0,5.0,10,9.0,10.0,8.0,6.0,1930.0,8,1.0,0.0,False,False,False
8,"6890, Rue Lacroix, Montréal (Le Sud-Ouest), Neighbourhood Saint-Paul/Émard",45.44806335,-73.60140104,139000,450.0,6.0,4.0,6.0,3.0,10,7.0,7.0,9.0,7.0,1955.0,8,1.0,0.0,False,False,False
9,"440, Rue De La Gauchetière Est, apt. 305, Montréal (Ville-Marie), Neighbourhood Central",45.512515,-73.556237,315000,623.0,10.0,10.0,8.0,7.0,10,9.0,10.0,10.0,6.0,2013.0,10,1.0,0.0,False,False,False
10,"1200, Rue Saint-Alexandre, apt. 622, Montréal (Ville-Marie), Neighbourhood Central West",45.50463,-73.566429,360000,369.0,10.0,10.0,6.0,7.0,10,10.0,10.0,10.0,4.0,2009.0,10,1.0,0.0,False,False,False
11,"7700, Rue du Mans, apt. 101, Montréal (Saint-Léonard)",45.58408,-73.584876,988000,2659.0,7.0,5.0,3.0,0.0,8,9.0,10.0,7.0,3.0,2011.0,11,3.0,0.0,False,False,True
12,"4790, Avenue Victoria, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Côte-des-Neiges",45.48611086,-73.61922813,748000,1860.0,9.0,5.0,3.0,4.0,8,7.0,8.0,9.0,8.0,1929.0,11,2.0,1.0,False,False,True
13,"299, Rue de la Rotonde, apt. 204, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Île-des-Soeurs",45.47305019,-73.53844783,528000,1043.0,6.0,3.0,5.0,0.0,8,6.0,5.0,6.0,3.0,2014.0,8,1.0,1.0,True,True,True
14,"4755, Avenue Papineau, apt. 209, Montréal (Le Plateau-Mont-Royal), Neighbourhood Le Plateau-Mont-Royal",45.534439,-73.577269,450000,783.0,10.0,10.0,10.0,7.0,10,10.0,10.0,9.0,6.0,2017.0,8,1.0,0.0,False,False,True
15,"4225, Rue Saint-Dominique, apt. 209, Montréal (Le Plateau-Mont-Royal), Neighbourhood Le Plateau-Mont-Royal",45.518902,-73.581446,549000,950.0,10.0,10.0,10.0,7.0,10,10.0,10.0,9.0,5.0,1952.0,8,1.0,0.0,False,False,True
16,"1451, Rue Parthenais, apt. 114, Montréal (Ville-Marie), Neighbourhood Central",45.5267,-73.549646,434800,1005.0,10.0,9.0,10.0,6.0,10,10.0,10.0,10.0,4.0,2007.0,10,1.0,0.0,False,False,True
17,"350, Rue Berri, apt. 501, Montréal (Ville-Marie), Neighbourhood Old Montréal",45.51090604,-73.55039425,929000,1076.0,10.0,10.0,8.0,7.0,10,10.0,8.0,10.0,7.0,2014.0,10,2.0,0.0,True,False,True
18,"4253, Rue De Richelieu, Montréal (Le Sud-Ouest), Neighbourhood Saint-Henri/Petite Bourgogne",45.4784162,-73.59176036,310000,806.0,10.0,7.0,6.0,6.0,8,10.0,10.0,9.0,6.0,2010.0,8,1.0,0.0,False,False,False
19,"115, Chemin de la Côte-Sainte-Catherine, apt. 601, Montréal (Outremont)",45.516172,-73.594699,679000,1214.0,10.0,10.0,9.0,6.0,10,9.0,10.0,9.0,9.0,1986.0,6,2.0,0.0,False,True,True
20,"90, Rue des Soeurs-Grises, apt. 202, Montréal (Ville-Marie), Neighbourhood La Cité du Multimédia",45.498789,-73.554597,545000,1200.0,10.0,10.0,9.0,9.0,10,10.0,10.0,9.0,4.0,2003.0,10,1.0,0.0,False,True,True
21,"3940, Chemin de la Côte-des-Neiges, apt. B84, Montréal (Ville-Marie), Neighbourhood Central West",45.495416,-73.594969,699000,1468.0,10.0,7.0,8.0,5.0,10,9.0,9.0,9.0,9.0,1929.0,10,1.0,1.0,False,False,True
22,"3525, Rue Saint-Urbain, Montréal (Le Plateau-Mont-Royal), Neighbourhood Le Plateau-Mont-Royal",45.51198082,-73.57160698,499000,1145.0,10.0,10.0,10.0,7.0,10,9.0,10.0,10.0,6.0,1900.0,8,1.0,0.0,False,False,False
23,"500, Rue de la Montagne, apt. 710, Montréal (Ville-Marie), Neighbourhood Central",45.49306774,-73.56544216,849000,1549.0,10.0,10.0,8.0,6.0,10,10.0,10.0,10.0,6.0,1993.0,10,2.0,0.0,False,False,True
24,"4427, Rue Marquette, Montréal (Le Plateau-Mont-Royal), Neighbourhood Le Plateau-Mont-Royal",45.531833,-73.574155,592000,916.0,10.0,10.0,10.0,7.0,10,10.0,10.0,9.0,8.0,1927.0,8,1.0,0.0,False,False,False
25,"5090, Avenue Charlemagne, Montréal (Rosemont/La Petite-Patrie), Neighbourhood Old Rosemont",45.556431,-73.565662,599800,1471.0,8.0,5.0,7.0,4.0,10,9.0,10.0,9.0,7.0,2000.0,8,1.0,0.0,False,False,True
26,"6455, boulevard De Maisonneuve Ouest, apt. 6, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Notre-Dame-de-Grâce",45.462996,-73.624257,309000,941.0,7.0,5.0,5.0,3.0,7,9.0,7.0,8.0,8.0,2000.0,11,1.0,0.0,False,False,False
27,"1240, Rue Saint-Timothée, apt. 6, Montréal (Ville-Marie), Neighbourhood Village",45.516328,-73.556511,599000,1125.0,10.0,10.0,9.0,7.0,10,10.0,10.0,10.0,6.0,2006.0,10,2.0,0.0,False,False,True
28,"3239, boulevard Édouard-Montpetit, apt. 5, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Côte-des-Neiges",45.49947,-73.622624,415000,1212.0,9.0,5.0,5.0,4.0,9,10.0,10.0,9.0,7.0,1929.0,11,1.0,0.0,False,False,True
29,"366, Rue Mayor, apt. 402, Montréal (Ville-Marie), Neighbourhood Central",45.506408,-73.568248,279000,394.0,10.0,10.0,7.0,7.0,10,10.0,10.0,10.0,3.0,2014.0,10,1.0,0.0,False,False,False
30,"3860, Rue Masson, apt. 3, Montréal (Rosemont/La Petite-Patrie), Neighbourhood Old Rosemont",45.55680359,-73.56972719,397000,898.0,8.0,7.0,8.0,4.0,10,10.0,10.0,9.0,5.0,2007.0,8,1.0,0.0,False,False,False
31,"2323, Rue Le Caron, apt. 259, Montréal (Le Sud-Ouest), Neighbourhood Saint-Paul/Émard",45.46231865,-73.59582885,319000,604.0,8.0,5.0,9.0,5.0,10,10.0,10.0,8.0,8.0,2010.0,8,1.0,0.0,False,False,True
32,"1250, Rue de la Visitation, apt. 101, Montréal (Ville-Marie), Neighbourhood Village",45.518682,-73.554462,399000,530.0,10.0,10.0,10.0,7.0,10,10.0,10.0,10.0,5.0,1987.0,10,1.0,0.0,False,False,False
33,"318, Rue Marie-Anne Est, apt. B, Montréal (Le Plateau-Mont-Royal), Neighbourhood Le Plateau-Mont-Royal",45.522107,-73.581176,329000,630.0,10.0,10.0,10.0,7.0,10,10.0,10.0,10.0,5.0,1935.0,8,1.0,0.0,False,False,False
34,"4721, Rue Rivard, Montréal (Le Plateau-Mont-Royal), Neighbourhood Le Plateau-Mont-Royal",45.525829,-73.584964,499000,1086.0,10.0,10.0,10.0,7.0,10,10.0,10.0,10.0,6.0,1998.0,8,1.0,1.0,False,False,False
35,"5235, Avenue De Gaspé, apt. 8, Montréal (Le Plateau-Mont-Royal), Neighbourhood Mile-End",45.526365,-73.593273,675000,1260.0,10.0,10.0,10.0,6.0,10,10.0,10.0,9.0,5.0,2001.0,8,1.0,0.0,False,False,False
36,"2535, Rue Modugno, apt. 704, Montréal (Saint-Laurent), Neighbourhood Saint-Laurent West",45.50690068,-73.69856408,486000,1301.0,6.0,3.0,8.0,0.0,9,7.0,6.0,7.0,5.0,2004.0,10,2.0,0.0,False,False,True
37,"4392, Avenue Beaconsfield, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Notre-Dame-de-Grâce",45.470377,-73.629809,675000,1168.0,8.0,5.0,6.0,5.0,8,9.0,10.0,8.0,9.0,1931.0,11,2.0,0.0,False,False,False
38,"3950, Rue Claude, apt. 301, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Verdun",45.464629,-73.573134,307000,780.0,9.0,5.0,10.0,6.0,9,10.0,10.0,9.0,6.0,1986.0,8,1.0,0.0,False,False,False
39,"5028, Avenue des Érables, Montréal (Le Plateau-Mont-Royal), Neighbourhood Le Plateau-Mont-Royal",45.538195,-73.577434,575000,1065.0,10.0,9.0,10.0,6.0,10,10.0,10.0,9.0,6.0,1910.0,8,1.0,0.0,False,False,False
40,"200, Avenue des Sommets, apt. 807, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Île-des-Soeurs",45.450053,-73.54818,495000,867.0,3.0,1.0,7.0,0.0,9,2.0,3.0,5.0,6.0,2004.0,8,1.0,1.0,True,True,True
41,"3953, Avenue du Mont-Royal Est, apt. 05, Montréal (Rosemont/La Petite-Patrie), Neighbourhood Shop Angus",45.554605,-73.560055,419000,1004.0,8.0,5.0,8.0,3.0,10,9.0,10.0,9.0,7.0,2005.0,8,1.0,0.0,False,False,False
42,"185, Rue du Séminaire, apt. 307, Montréal (Le Sud-Ouest), Neighbourhood Griffintown",45.490915,-73.560779,340000,589.0,10.0,9.0,9.0,6.0,10,10.0,10.0,9.0,5.0,2013.0,8,1.0,0.0,False,True,False
