,title,address,price,lat,long,Restaurants,Shopping,Vibrant,Cycling friendly,Car friendly,Historic,Quiet,Elementary Schools,High Schools,Parks,Nightlife,Groceries,Daycares,Pedestrian friendly,Cafes,Transit friendly,Greenery,rooms,bedrooms,bathroom,Condominium type,Net area,Year built,Parking (total),Population 2016 ,Population variation between 2011 2016 ,Population density ,Unemployment rate 2016 ,"Less than $50,000 (%)","Between $50,000 and $80,000 (%)","Between $80,000 and $100,000 (%)","Between $100,000 and $150,000 (%)","More than $150,000 (%)",1-person households (%),2-person households (%),3-person households (%),4-person households (%),5-person or more households (%),Couples without children at home (%),Couples with children at home (%),Single-parent families (%),Owners (%),Renters (%),Before 1960 (%),Between 1961 and 1980 (%),Between 1981 and 1990 (%),Between 1991 and 2000 (%),Between 2001 and 2010 (%),Between 2011 and 2016 (%),Single-family homes (%),Semi-detached or row houses (%),Buildings with less than 5 floors (%),Buildings with 5 or more floors (%),Mobile homes (%),University (%),College (%),Secondary (high) school (%),Apprentice or trade school diploma (%),No diploma (%),Non-immigrant population (%),Immigrant population (%),French (%),English (%),Others languages (%),bathrooms,Pool,Additional features,walk_score,bedroom,Gross area,powder room,Building style,Lot area,Fireplace/Stove,in basement,Use of property,Number of units,Residential units,Main unit,Potential gross revenue,powder rooms,Intergenerational,Building area (at ground level),room,Available area,Residential unit,bedrooms in basement,Zoning,Parking (excluded from the price),bedroom in basement,< 15 years (%),15 to 24 years (%),25 to 44 years (%),45 to 64 years (%),> 65 years (%)
0,Condo for sale,"5050, Rue Bannantyne, apt. 203, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Verdun","$409,000",45.4560790000,-73.5759490000,7,8,5,9,6,5,8,10,7,10,3,9,9,10,5,8,5,8,2,1,Divided,"1,014 sqft",2008,Garage (1),69229,5,7181,8,45,22,9,12,11,42,34,13,8,3,46,36,18,37,63,46,21,13,8,9,4,3,7,69,21,0,43,16,18,9,14,75,25,64.0,22.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Condo for sale,"201, Chemin de la Pointe-Sud, apt. 216, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Île-des-Soeurs","$680,000",45.4493470000,-73.5533270000,3,3,1,7,10,0,10,7,0,8,0,2,4,3,1,4,5,6,3,,Divided,"1,249 sqft",2006,Garage (2),69229,5,7181,8,45,22,9,12,11,42,34,13,8,3,46,36,18,37,63,46,21,13,8,9,4,3,7,69,21,0,43,16,18,9,14,75,25,64.0,22.0,14.0,2,"Heated, Inground",Elevator,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Condo for sale,"8800, Rue Verville, apt. 101, Montréal (Ahuntsic-Cartierville), Neighbourhood Ahuntsic West","$283,000",45.5365892400,-73.6465895700,8,10,5,3,6,2,0,9,7,8,4,10,6,8,6,9,4,6,2,1,Divided,848 sqft,2007,Garage (1),134245,6,5545,10,49,23,9,11,9,41,27,13,12,7,34,46,20,39,61,37,33,14,6,6,4,9,5,73,13,0,36,16,20,10,17,59,41,65.0,10.0,25.0,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Condo for sale,"185, Rue du Séminaire, apt. 605, Montréal (Le Sud-Ouest), Neighbourhood Griffintown","$339,000",45.4909150000,-73.5607790000,10,10,9,9,5,6,7,7,4,10,9,10,8,10,10,9,5,4,,1,Divided,,2013,,80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,,"Heated, Inground, Indoor","Adapted for reduced mobility, Elevator",70,1,621 sqft,,,,,,,,,,,,,,,,,,,,,,,,,
4,Condo for sale,"7075, Rue Bombardier, apt. 108, Montréal (Anjou)","$177,800",45.6061860000,-73.5883530000,6,7,3,4,9,0,6,4,5,8,3,9,2,7,4,7,5,6,,1,Divided,586 sqft,1993,Driveway (1),42796,2,3103,10,45,26,10,12,7,38,31,13,12,7,38,41,21,44,56,15,49,16,10,10,1,8,9,65,18,0,25,17,23,14,20,66,34,76.0,8.0,16.0,,,,53,1,,,,,,,,,,,,,,,,,,,,,,,,,,
5,House for sale,"5221, Avenue Doherty, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Notre-Dame-de-Grâce","$698,000",45.4618247700,-73.6504931200,6,7,3,6,7,2,6,9,9,8,3,8,6,7,5,8,8,7,3,,,,1952,Driveway (1),166011,1,7718,11,54,21,8,9,9,40,29,15,11,6,33,45,22,27,73,51,30,8,5,4,3,3,6,69,22,0,47,16,19,6,12,50,50,33.0,39.0,28.0,2,,Basement 6 feet or +,56,,,1,"Two or more storey, Semi-detached","3,030 sqft",Fireplace - Other,,,,,,,,,,,,,,,,,,,,,
6,Condo for sale,"1000, Rue Ottawa, apt. 823, Montréal (Le Sud-Ouest), Neighbourhood Griffintown","$365,000",45.4947180000,-73.5586710000,10,10,9,10,5,6,3,9,3,10,9,10,9,10,10,10,3,3,,1,Divided,464 sqft,2014,Garage (1),80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,,"Heated, Inground, Indoor","Adapted for reduced mobility, Elevator",83,1,,,,,,,,,,,,,,,,,,,,,,,,,,
7,House for sale,"2691, Rue Hill Park Circle, Montréal (Ville-Marie), Neighbourhood Central West","$1,725,000",45.4967300000,-73.6000710000,10,10,5,4,8,4,8,8,8,10,6,6,2,7,8,8,10,8,3,,,,1987,"Driveway (1), Garage (2)",87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,2,,,,,,1,"Two or more storey, Attached","1,827 sqft",Wood fireplace,,,,,,,,,,,,,,,,,,,,,
8,House for sale,"5020, Rue Laurin, Montréal (Pierrefonds-Roxboro), Neighbourhood Pierrefonds/Central East","$619,000",45.5066830000,-73.7752400000,4,5,2,5,10,0,5,10,10,8,3,8,8,4,2,5,6,11,4,,,,2000,"Driveway (2), Garage (1)",69297,1,2547,8,33,24,12,19,13,24,28,18,19,11,30,53,17,70,30,16,39,18,11,13,3,51,13,31,5,0,32,20,25,9,15,59,41,30.0,45.0,25.0,2,,Basement 6 feet or +,21,,,1,"Two or more storey, Detached","4,090 sqft",,(1,,,,,,,,,,,,,,,,,,,,
9,Duplex for sale,"5421 - 5423, 15e Avenue, Montréal (Rosemont/La Petite-Patrie), Neighbourhood Old Rosemont","$679,000",45.5542860000,-73.5721370000,9,9,7,8,5,4,8,10,9,9,6,10,10,10,6,8,8,,,,,,1949,,139590,4,8741,8,52,22,9,11,7,49,29,11,8,3,43,36,21,30,70,52,24,9,5,5,4,2,3,89,6,0,41,17,17,10,15,77,23,83.0,6.0,11.0,,,Basement 6 feet or +,79,,,,Attached,,,,Residential only,Residential (2),"1 x 5 ½, 1 x 6 ½","6 rooms, 3 bedrooms, 2 bathrooms and 1 powder room","$30,960",,,,,,,,,,,,,,,
