,feature,weight,std
10,Restaurants,1.064975974210269,0.0031130400393915444
9,Bedrooms,1.2030900082219391,0.0008878645794502449
8,Transit Friendly,1.4244846512142992,0.004676416380480073
7,Parks,1.622464998816267,0.003709284342532816
6,Year Built,1.640623047358474,0.002128775603235248
5,Historic,2.0330497329592827,0.004653026905291651
4,Cafes,2.3169537313139617,0.0035656845707655294
3,Groceries,4.763631036379896,0.009594563766787901
2,Downtown Distance,9.039573124717789,0.007078399747770436
1,Bathrooms,13.800569060617239,0.008798493933874565
0,Total Area,61.09058463419059,0.027204692298616655
